Postcode,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
2428,188,15538,33,16,9,44,5904,70,2207,24012
2429,68,6057,8,6,3,39,2566,27,935,9715
2430,280,21986,80,63,16,101,8529,97,2871,34017
2431,39,3300,3,5,0,9,1349,19,413,5133
2439,8,1717,0,0,0,7,853,6,341,2941
2440,144,13023,31,23,0,68,5489,105,2930,21816
2441,36,2317,6,5,0,11,1393,20,550,4349
2443,52,5785,20,8,0,18,2172,19,817,8892
2444,349,29349,173,48,44,163,12248,204,3715,46289
2445,42,4237,5,3,0,17,1707,33,414,6464
2446,78,8615,5,25,9,28,3275,37,1260,13330
2447,46,4358,11,0,5,33,1944,38,741,7180
2448,93,5053,9,5,9,62,2771,47,945,9002
2449,40,1190,5,5,0,24,694,10,230,2188
2450,449,23982,158,373,31,504,13624,204,4575,43896
2452,155,8918,30,26,4,82,4678,74,1152,15119
2453,40,1413,7,0,0,10,1020,9,268,2771
2454,160,2945,22,16,36,74,3498,57,761,7571
2455,28,1804,0,0,0,12,878,15,267,3001
2456,162,7039,49,71,8,1005,4948,83,1388,14749
2460,161,18178,40,27,7,142,7516,112,3039,29212
2462,23,1500,7,0,0,11,667,10,233,2443
2463,64,4716,4,8,0,11,2014,31,686,7541
2464,73,4027,14,4,4,15,1957,32,607,6740
2465,0,192,0,0,0,0,59,4,35,292
2466,3,1118,0,0,0,3,434,15,154,1725
2469,41,2050,15,3,4,31,1334,19,526,4009
2470,54,10476,19,7,0,50,3262,47,1309,15225
2471,16,1587,0,3,0,11,587,9,304,2522
2472,11,1061,0,9,0,9,553,13,204,1855
2473,23,1823,8,0,0,6,899,12,319,3092
2474,94,3439,16,7,12,55,1942,35,744,6332
2475,7,201,0,0,0,0,100,0,84,386
2476,0,511,0,4,0,0,179,6,80,780
2477,133,7285,24,14,12,42,3616,65,1015,12207
2478,344,15873,70,36,27,152,8733,192,2891,28316
2479,83,1736,14,7,33,67,2259,28,515,4735
2480,615,22876,106,115,36,504,15173,388,4787,44596
2481,298,3556,38,14,97,85,5388,94,2182,11770
2482,185,1690,14,4,91,71,3085,60,1084,6276
2483,261,3726,24,12,84,106,4936,119,1350,10604
2484,232,9527,354,12,13,259,6214,129,2133,18874
2485,184,8355,79,37,13,78,4015,64,1552,14375
2486,303,19830,106,37,32,155,8520,133,2479,31594
2487,144,7656,40,4,9,37,4071,68,1405,13430
2488,49,1511,15,14,3,8,1317,27,323,3262
2489,83,4125,18,4,10,38,2508,31,539,7353
2490,3,345,0,0,0,0,232,4,78,667
2500,927,20121,613,1658,30,174,12898,266,3826,40512
2502,161,7739,36,1016,4,65,2383,35,993,12433
2505,46,3365,6,49,0,13,1097,32,397,5008
2506,130,4690,9,341,0,20,1796,41,585,7608
2508,67,5285,52,7,5,23,2864,43,632,8975
2515,106,5537,28,22,19,35,4454,66,838,11110
2516,67,3351,11,41,0,14,2193,31,403,6108
2517,140,8325,35,60,15,28,4198,50,878,13732
2518,252,11710,77,210,16,94,5387,76,1252,19066
2519,220,9947,128,589,4,58,4681,66,1227,16931
2522,18,85,8,23,0,0,145,5,15,300
2525,104,7528,99,215,11,52,2809,48,701,11564
2526,116,10076,81,217,0,43,3867,58,1169,15629
2527,120,14104,15,65,0,45,5613,58,1361,21381
2528,181,14761,25,274,0,77,6377,108,1972,23773
2529,241,17314,98,313,5,109,6095,122,1728,26021
2530,206,21248,99,161,4,94,8189,122,1900,32017
2533,121,9607,18,22,15,32,4555,53,1204,15623
2534,56,3361,14,4,7,4,1667,24,574,5711
2535,50,4239,4,11,15,9,2266,10,732,7332
2536,131,10466,35,28,10,79,5120,80,1773,17720
2537,98,6452,18,15,5,54,4016,71,1082,11811
2538,31,1331,0,0,0,4,724,6,294,2397
2539,236,10703,27,19,15,62,5295,79,1539,17978
2541,263,14689,122,67,16,142,7661,114,2566,25642
2545,14,544,3,0,0,3,373,0,106,1042
2546,113,4641,19,6,16,49,3239,37,995,9118
2548,74,4375,7,3,0,28,2467,19,757,7736
2549,41,1979,10,0,3,16,1398,14,316,3788
2550,166,7937,31,14,13,68,5942,87,1605,15857
2551,21,1923,3,0,6,13,1130,14,388,3502
2555,8,140,0,0,0,0,48,0,19,229
2556,30,1827,15,163,0,6,294,8,166,2509
2557,139,5947,266,379,0,74,1338,13,781,8948
2558,317,7205,206,644,5,85,2066,35,558,11115
2559,50,1528,33,121,0,21,632,8,678,3070
2560,1806,47042,1396,3897,37,615,15569,274,5882,76525
2563,7,204,0,0,0,0,59,0,36,305
2564,466,6815,1115,1766,3,123,2307,54,1282,13925
2565,419,10891,1414,2012,0,363,3118,46,1711,19985
2566,659,14468,1718,3027,14,462,4100,87,1792,26323
2567,487,26682,352,807,16,189,7804,103,2065,38501
2568,3,851,0,0,0,0,157,0,133,1146
2569,4,1001,0,17,5,5,235,3,95,1360
2570,246,28650,287,377,24,112,7743,109,2545,40102
2571,68,8080,18,26,5,31,2845,37,738,11851
2572,29,3017,5,22,0,8,1037,14,348,4476
2573,29,3294,3,30,0,10,1266,11,407,5068
2574,26,3964,3,13,7,24,1285,11,409,5740
2575,123,9617,91,45,32,56,4089,63,1351,15477
2576,104,8555,114,10,48,46,3344,45,1157,13433
2577,162,9178,99,26,34,54,4304,47,1505,15416
2578,37,1633,3,0,13,6,798,9,187,2688
2579,54,2532,10,16,5,13,1079,14,310,4024
2580,211,19253,109,96,8,126,6188,115,3117,29221
2581,10,1334,0,19,3,3,573,7,155,2093
2582,61,7724,15,38,14,46,3443,51,1054,12439
2583,15,3200,0,0,0,9,687,12,457,4384
2584,0,355,0,0,0,7,126,5,47,543
2585,5,166,0,0,0,3,34,5,22,226
2586,12,1943,5,6,0,8,413,5,226,2620
2587,12,2285,9,19,0,9,377,16,202,2917
2588,0,206,0,0,0,0,31,0,15,259
2590,23,5234,19,6,9,12,1193,25,589,7091
2594,36,8426,13,252,3,41,1941,30,924,11669
2619,77,6090,72,64,10,43,2593,36,513,9508
2621,35,3200,9,3,0,23,2158,30,582,6056
2622,39,1909,3,0,3,24,1345,24,570,3921
2623,0,283,0,0,0,0,260,4,64,613
2625,4,107,0,0,4,3,145,4,118,390
2626,0,278,0,0,0,4,138,3,77,505
2627,68,2091,7,18,7,17,1866,70,490,4621
2628,13,1042,0,0,6,14,677,14,144,1910
2629,0,309,0,0,0,3,128,10,75,530
2630,77,5108,9,52,4,32,2295,36,1080,8689
2631,0,361,0,0,0,3,139,4,63,570
2632,8,1268,0,0,0,11,392,5,149,1833
2633,3,253,0,0,0,0,86,0,37,380
2640,389,21435,447,109,20,241,10338,151,3216,36343
2641,127,8889,391,128,7,167,3970,77,1316,15073
2642,24,3189,6,4,0,9,1126,16,423,4791
2643,6,1692,0,0,5,6,754,10,302,2771
2644,7,1668,4,0,3,6,517,0,196,2400
2645,0,286,3,0,0,0,33,3,76,400
2646,43,4406,20,14,0,22,1589,19,641,6755
2647,9,1367,3,0,0,0,585,4,201,2163
2648,11,1265,3,0,0,3,711,5,374,2375
2649,0,16,0,0,0,0,3,0,8,31
2650,336,38468,402,543,15,184,12616,219,4195,56973
2651,13,1363,28,9,0,14,698,10,136,2274
2652,3,3167,4,0,0,7,931,6,464,4584
2653,15,1582,0,0,0,13,522,6,388,2532
2655,0,860,0,0,0,0,315,0,161,1336
2656,7,1002,0,0,0,0,148,0,119,1271
2658,3,1068,0,8,0,3,246,3,101,1435
2659,7,625,0,0,0,0,180,3,68,889
2660,4,1074,0,0,0,0,393,6,131,1616
2661,6,285,4,0,0,6,203,6,118,629
2663,14,2993,10,5,4,7,827,12,1307,5183
2665,19,1604,6,5,0,9,303,12,274,2226
2666,14,4422,9,0,0,10,817,10,387,5671
2668,0,314,0,0,0,10,86,0,42,457
2669,0,1206,0,0,0,0,266,0,177,1653
2671,13,2965,9,3,0,0,544,12,557,4111
