Postcode,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
4881,106,1836,8,11,6,74,1810,26,627,4495
4882,28,1728,3,0,0,9,680,9,264,2716
4883,47,5067,22,9,4,48,2443,31,757,8428
4884,23,989,6,0,0,12,664,13,165,1867
4885,34,2156,8,5,0,25,1186,11,384,3806
4886,0,459,0,0,0,7,286,8,81,844
4887,24,1008,0,0,0,8,728,18,242,2037
4888,31,1404,0,0,0,28,1004,15,611,3097
4890,5,683,5,0,0,5,465,0,127,1279
4891,0,297,0,0,0,0,155,3,75,531
4892,9,3631,6,0,0,209,1273,8,471,5616
4895,49,2562,8,0,0,21,1102,16,689,4446
5000,2216,762,3870,287,488,17,103,7300,67,15113
5005,0,0,0,0,0,0,0,0,0,0
5006,883,148,2946,166,117,9,31,2612,46,6953
5007,596,236,2979,103,169,3,100,2858,49,7082
5008,1238,828,6423,193,664,12,226,4036,70,13680
5009,403,163,2589,80,178,0,128,1451,27,5025
5010,450,906,2402,208,305,0,120,1431,32,5848
5011,875,339,6180,258,412,8,187,3405,44,11715
5012,907,1836,4278,470,751,0,167,2692,47,11167
5013,834,936,4717,133,245,3,85,2979,50,9980
5014,970,175,6387,89,161,7,84,3823,63,11765
5015,459,70,2562,21,62,0,40,2447,41,5694
5016,642,66,4316,16,19,3,25,3692,61,8847
5017,415,60,2355,11,40,3,20,2090,31,5024
5018,353,34,3103,6,21,3,18,2009,23,5571
5019,782,83,4153,27,63,6,42,3908,50,9117
5020,259,36,1892,8,18,0,4,873,6,3111
5021,374,62,3811,13,27,4,24,1459,8,5791
5022,1277,156,8530,99,111,11,72,5425,59,15741
5023,1199,285,9829,336,492,0,324,4008,83,16571
5024,957,166,8576,156,98,5,168,3679,49,13847
5025,522,145,5300,64,132,0,83,1978,36,8254
5031,793,222,4355,163,295,6,152,3875,79,9929
5032,891,254,7123,409,374,6,341,3265,44,12711
5033,839,220,3871,292,288,6,185,2638,36,8373
5034,744,155,4555,183,167,10,104,4073,52,10047
5035,514,144,2556,201,108,0,69,2468,39,6102
5037,826,207,5260,444,319,8,228,3442,54,10791
5038,1088,333,6953,792,398,13,442,5147,89,15263
5039,753,185,3955,175,147,4,102,3472,54,8852
5040,163,26,1476,5,50,9,17,763,7,2505
5041,964,138,6992,144,153,15,64,4876,55,13393
5042,790,281,5062,291,589,3,154,3599,61,10836
5043,1485,405,8641,580,737,19,308,6478,128,18783
5044,803,88,5967,36,62,16,51,3809,39,10878
5045,1528,153,7835,168,118,9,119,5600,65,15591
5046,763,115,4231,203,190,3,69,3476,40,9087
5047,714,167,3630,223,361,3,100,3012,49,8262
5048,1181,142,7102,73,239,20,80,5291,91,14224
5049,742,72,4705,36,62,16,80,4004,54,9763
5050,410,61,2498,43,42,5,29,2493,33,5602
5051,904,136,6393,58,39,17,73,6401,55,14074
5052,467,63,2814,21,10,5,15,2929,39,6370
5061,766,122,4885,96,57,20,58,3654,35,9691
5062,1094,179,7610,125,136,22,63,5620,66,14917
5063,1054,265,5618,198,143,20,69,4876,60,12306
5064,693,239,5101,183,89,36,70,3411,28,9854
5065,868,278,4895,255,168,23,79,3611,29,10200
5066,843,263,5881,206,153,45,81,4211,43,11720
5067,1003,182,4300,173,158,17,68,4191,43,10142
5068,926,247,6054,192,146,17,105,4430,62,12187
5069,642,112,3963,170,141,22,48,3135,51,8293
5070,1001,283,7669,417,191,10,222,4403,77,14272
5072,846,420,6458,267,150,27,206,4218,64,12662
5073,1007,430,8702,422,220,15,294,4084,50,15237
5074,867,358,7561,410,282,11,315,3095,46,12940
5075,727,198,6422,197,137,10,235,2671,38,10630
5076,519,83,5868,97,76,16,116,2359,28,9176
5081,737,229,4658,237,149,11,129,3097,47,9274
5082,1200,368,7328,505,394,11,221,4835,68,14930
5083,483,168,3614,394,214,6,178,2394,45,7491
5084,994,545,3611,427,1882,3,212,2345,43,10058
5085,2284,587,8211,1243,1334,9,540,5682,81,19972
5086,1274,510,7259,1050,726,5,430,4835,58,16146
5087,859,255,5237,660,275,5,311,3723,48,11377
5088,285,65,1574,161,148,0,67,975,13,3294
5089,387,53,3883,34,82,8,53,2056,22,6584
5090,553,85,4559,95,47,11,138,2367,37,7887
5091,568,44,3830,20,31,0,26,2951,32,7506
5092,1222,252,8578,436,389,10,234,6351,94,17569
5093,619,144,4629,195,396,7,202,2767,51,9010
5094,57,65,373,19,118,0,40,236,5,899
5095,1530,1009,8965,789,1403,16,387,6360,76,20524
5096,1076,247,6461,282,714,8,205,4332,65,13387
5097,934,132,7189,94,69,3,102,4975,60,13561
5098,925,271,6419,309,557,3,244,3544,40,12318
5106,8,4,93,0,7,0,0,93,0,199
5107,1138,1289,7671,836,969,5,317,4786,84,17095
5108,3041,2276,18314,1273,1763,6,450,13288,198,40610
5109,1473,356,10644,441,572,10,165,7086,107,20856
5110,780,980,3971,68,189,0,42,2888,36,8958
5111,43,4,92,0,0,0,0,131,4,276
5112,2058,304,8302,460,835,3,177,7180,108,19422
5113,2136,275,7428,109,535,3,147,8083,167,18888
5114,2845,344,15593,118,503,11,235,14097,211,33958
5115,920,164,4552,47,69,0,104,4473,62,10392
5116,756,83,4873,22,23,0,40,3614,39,9454
5117,202,15,1610,0,0,0,5,1075,13,2924
5118,1592,97,9409,24,23,0,69,7093,100,18411
5120,193,261,993,0,37,0,7,486,3,1978
5121,117,94,897,13,10,0,21,509,0,1674
5125,1292,117,10232,100,86,3,137,7178,85,19222
5126,472,45,3659,29,15,5,31,2885,33,7179
5127,464,54,4277,27,51,3,34,2821,23,7759
5131,83,10,588,0,4,0,4,300,3,984
5132,24,3,252,0,0,0,0,146,0,428
5133,39,0,207,0,0,0,0,137,0,389
5134,50,4,174,0,0,0,0,196,3,432
5136,55,0,211,0,0,0,11,253,0,532
5137,61,0,230,0,0,4,8,278,8,576
5138,7,4,120,0,0,0,9,147,4,289
5139,15,5,104,0,0,0,0,110,0,232
5140,19,16,172,0,0,0,0,213,0,419
5141,58,9,307,0,0,0,0,305,0,680
5142,48,6,268,0,0,0,0,243,8,573
5144,37,8,161,0,0,0,0,204,3,417
5150,13,0,29,0,0,0,0,16,0,56
5151,20,3,185,0,0,0,4,139,11,364
5152,517,67,2629,6,3,11,31,2830,34,6132
5153,593,66,2787,0,7,6,19,2912,34,6424
5154,265,24,1407,0,0,7,6,1634,7,3355
5155,320,59,1454,7,0,12,20,1935,23,3824
5156,70,11,377,7,0,0,10,477,13,952
5157,285,10,1310,4,0,0,13,1281,15,2913
5158,1568,281,12078,237,103,12,232,10124,101,24738
5159,2213,240,16368,165,179,33,216,13346,171,32934
5160,6,0,15,0,0,0,0,0,0,24
5161,759,63,4663,35,84,4,61,4402,82,10152
5162,2650,298,15803,207,294,5,259,14581,207,34292
5163,1117,115,6329,30,27,14,96,6288,109,14120
5164,625,41,2196,28,39,0,49,2295,26,5288
5165,727,64,2044,7,7,3,26,2467,44,5383
5166,171,12,732,11,4,0,13,927,13,1879
5167,636,65,2399,11,17,0,35,2522,28,5705
5168,463,42,2432,13,3,5,25,2483,23,5499
5169,1443,141,7439,44,39,8,54,7807,115,17086
5170,113,14,415,4,0,0,8,587,12,1151
5171,481,42,2885,10,6,0,19,2464,25,5919
5172,393,30,1638,7,4,0,16,1814,29,3932
5173,1306,128,5002,29,19,5,55,6129,94,12769
5174,324,39,1073,5,0,0,26,1443,19,2917
5201,176,7,841,0,3,0,9,884,15,1942
5202,102,7,285,0,0,0,11,462,10,873
5203,138,12,548,4,0,4,3,557,6,1273
5204,268,23,1281,15,0,0,16,1210,19,2826
5210,163,10,706,0,4,0,10,811,13,1718
5211,1403,131,8118,20,20,4,69,5457,55,15275
5212,194,12,1068,0,0,0,21,801,6,2100
5213,69,12,464,0,0,0,11,594,13,1157
5214,772,72,4307,16,0,0,42,3151,27,8393
5220,16,0,49,0,0,0,0,80,0,153
5221,50,0,121,0,0,0,0,112,0,285
5222,82,9,247,0,3,0,0,272,4,628
5223,439,32,1506,4,6,0,13,1626,16,3640
5231,91,10,584,0,0,0,4,539,0,1223
5232,38,3,221,0,0,0,0,157,4,424
5233,152,16,758,0,0,0,0,542,10,1474
5234,124,11,674,0,0,0,5,480,8,1301
5235,244,10,1245,3,0,0,9,954,10,2478
5236,49,0,136,0,0,0,0,110,0,300
5237,36,0,159,0,0,0,0,156,3,363
5238,414,20,2120,0,5,0,13,1486,21,4087
5240,28,4,220,0,0,0,0,232,0,482
5241,206,72,1345,10,0,0,9,884,12,2525
5242,129,4,815,0,0,0,0,655,10,1617
5243,79,8,390,0,0,0,3,353,0,831
5244,432,29,2121,0,4,3,15,1623,29,4264
5245,275,34,1700,6,0,0,18,1024,24,3083
5250,260,14,1794,4,0,0,3,1418,21,3520
5251,1219,150,7100,62,36,17,113,5826,92,14625
5252,585,46,2819,15,0,7,31,2983,18,6512
5253,1892,215,9282,62,200,6,118,6649,85,18490
5254,242,29,1136,0,5,0,14,952,7,2387
5255,891,68,4541,11,5,7,26,3663,41,9247
5256,174,12,620,0,8,0,11,533,4,1357
5259,165,3,557,0,4,0,8,371,3,1110
5260,133,0,947,0,0,0,3,658,9,1758
5261,25,0,211,0,0,0,0,136,0,366
5262,38,0,234,0,0,0,0,139,0,411
5263,19,0,90,0,0,0,0,24,0,141
5264,127,7,683,4,0,0,7,419,3,1252
5265,45,0,272,0,8,0,0,101,7,434
5266,63,3,363,0,0,0,7,190,4,623
5267,200,0,1018,3,0,0,4,719,13,1961
5268,402,14,1888,22,114,0,10,1080,8,3548
5269,28,0,130,0,0,0,0,92,5,259
5270,37,0,363,0,0,0,0,204,0,604
5271,563,145,4160,0,317,0,16,2191,30,7425
5272,40,7,451,0,0,0,0,289,3,795
5273,5,0,71,0,0,0,0,27,0,113
5275,193,7,1277,0,0,0,9,923,3,2409
5276,129,4,568,4,5,0,5,468,0,1184
5277,213,17,1545,0,3,0,9,1112,11,2917
5278,37,0,295,0,0,0,0,180,0,517
5279,60,0,247,0,3,0,0,204,4,527
5280,674,23,3624,4,3,0,18,2988,32,7370
5290,2047,146,12787,62,58,4,101,10176,129,25513
5291,1205,22,4696,6,0,4,18,3200,21,9167
5301,60,0,365,0,0,0,0,145,0,572
5302,93,0,518,0,6,0,0,227,11,847
5303,27,3,119,0,3,0,0,55,0,209
5304,69,7,403,0,4,0,3,278,17,772
5306,0,0,55,0,0,0,0,17,0,77
5307,53,0,384,0,0,0,3,128,3,578
5308,3,0,82,0,0,0,0,59,0,141
5309,27,0,87,0,0,0,0,47,0,158
5310,10,0,36,0,0,0,0,19,0,63
5311,40,7,270,0,0,0,0,103,6,424
5320,45,3,360,10,0,0,0,222,5,651
5321,238,3,160,0,0,0,0,137,3,544
5322,99,9,567,3,8,0,9,283,3,996
5330,265,12,1974,10,34,0,74,988,10,3372
5331,39,0,132,0,0,0,0,138,4,320
5332,53,0,225,0,0,0,11,109,0,404
5333,449,18,3338,8,6,0,21,1957,18,5809
5340,174,21,672,5,3,0,4,548,3,1431
5341,753,77,3718,11,178,0,262,2627,45,7663
5342,66,6,644,0,0,0,33,366,10,1125
5343,490,29,2428,19,22,0,68,1776,17,4846
5344,96,4,532,0,0,0,47,299,10,984
5345,303,13,1924,5,5,0,42,1285,16,3585
5346,34,9,219,0,0,0,5,116,0,383
5350,41,0,233,0,0,0,0,196,0,474
5351,528,29,2861,0,0,0,19,2373,42,5861
5352,424,26,3248,13,8,0,14,1473,21,5216
5353,340,15,2093,7,0,4,14,1272,18,3770
5354,38,4,185,0,0,0,8,125,6,365
5355,542,22,4620,10,0,5,14,2357,31,7590
5356,69,13,473,3,0,0,3,242,3,810
5357,56,0,229,6,3,0,0,124,0,425
5360,99,11,603,0,0,0,0,406,0,1120
5371,74,0,700,0,4,0,3,475,0,1263
5372,170,17,1195,0,0,0,9,810,12,2213
5373,246,28,1876,6,0,0,14,1238,20,3423
5374,150,7,966,4,0,0,4,337,16,1479
5381,35,0,266,0,0,0,0,78,5,385
5400,94,5,382,0,0,0,8,389,0,878
5401,100,0,420,0,0,0,4,315,11,848
5410,35,0,139,0,0,0,0,129,0,318
5411,56,0,174,0,0,0,0,99,0,326
5412,108,0,680,0,7,0,3,405,3,1208
5413,66,3,544,0,3,0,3,209,5,832
5414,14,0,102,0,0,0,4,27,5,151
5415,11,0,146,0,0,0,0,65,0,222
5416,21,0,149,0,0,0,0,74,0,245
5417,162,9,830,0,0,0,3,457,11,1483
5418,9,0,73,0,0,0,0,31,0,117
5419,16,0,139,0,0,0,0,64,0,224
5420,6,0,46,0,0,0,0,19,0,79
5421,30,0,52,0,0,0,0,57,0,139
5422,178,9,905,0,4,0,12,582,10,1685
5431,79,0,573,0,6,0,8,244,5,908
5432,8,0,100,0,0,0,0,25,0,139
5433,106,7,681,0,3,0,3,449,6,1262
5434,96,3,235,0,0,0,0,115,0,458
5440,49,0,128,4,0,0,0,85,0,259
5451,95,0,341,0,0,0,12,247,4,696
5452,29,3,247,0,0,0,0,167,3,444
5453,417,15,2880,3,0,0,33,1568,19,4935
5454,28,4,241,0,0,0,0,124,0,397
5455,0,0,29,0,0,0,0,23,0,57
5460,51,0,433,0,5,0,7,241,6,745
5461,209,3,1538,0,3,0,5,796,0,2552
5462,21,5,295,0,0,0,7,193,0,517
5464,63,0,418,0,0,0,0,144,0,638
5470,10,0,89,0,0,0,6,39,0,140
5471,5,0,54,0,0,0,0,31,0,86
5472,18,0,103,0,0,0,0,42,0,163
5473,79,5,424,6,0,0,0,231,6,756
5480,47,0,461,0,0,0,5,251,4,774
5481,38,9,323,0,0,0,0,193,0,558
5482,43,6,325,0,0,0,0,148,4,521
5483,31,0,186,0,0,0,0,125,0,341
5485,63,0,352,0,0,0,0,166,0,586
5490,29,0,103,0,0,0,0,40,0,177
5491,155,8,1200,0,0,0,0,445,8,1817
5493,6,0,57,0,0,0,0,26,0,89
5495,71,15,291,5,0,0,8,202,4,592
5501,682,70,3728,8,8,0,34,2767,24,7321
5502,145,15,766,0,4,0,11,602,8,1545
5510,15,0,66,0,0,0,0,31,0,111
5520,29,0,335,0,0,0,0,219,0,589
5521,13,0,87,0,0,0,0,41,0,147
5522,115,8,872,0,0,0,6,423,0,1426
5523,142,3,1207,0,0,0,10,549,15,1935
5540,1259,59,8615,29,52,0,39,5235,51,15347
5550,53,17,504,7,3,0,4,321,0,913
5552,61,0,219,0,0,0,0,106,0,387
5554,604,22,2664,13,0,0,22,1891,11,5234
5555,58,0,296,0,0,0,0,150,0,502
5556,382,13,2208,3,6,0,7,1396,21,4040
5558,440,29,2704,3,7,5,15,1621,5,4828
5560,47,0,266,0,0,0,3,148,3,469
5570,82,0,287,0,0,0,4,167,0,537
5571,142,9,1174,0,0,0,6,516,3,1847
5572,13,0,95,0,0,0,0,37,0,147
5573,186,15,1274,0,0,0,14,554,5,2043
5575,179,14,1317,0,12,0,8,790,6,2334
5576,73,0,728,0,0,0,3,259,3,1076
5577,51,9,291,3,0,0,4,165,0,528
5580,39,0,188,0,0,0,0,114,0,348
5581,32,7,362,0,0,0,0,141,0,541
5582,57,7,392,0,0,0,4,195,4,647
5583,62,9,465,0,0,0,0,251,0,787
5600,437,58,3381,45,16,0,17,2217,33,6207
5601,40,0,231,0,0,0,0,185,6,468
5602,158,6,774,0,0,0,0,393,6,1346
5603,51,0,270,0,0,0,5,123,4,444
5604,12,3,123,0,0,0,0,55,0,197
5605,130,3,978,0,0,0,0,567,10,1688
5606,1405,83,7094,41,12,7,38,5395,58,14129
5607,679,34,2419,0,4,0,8,1764,10,4918
5608,1424,67,6164,66,46,0,59,5451,70,13353
5609,142,8,992,24,0,0,14,763,7,1949
5630,12,0,85,0,0,0,0,38,0,136
5631,81,4,670,0,0,0,4,286,3,1045
5632,33,0,155,0,0,0,0,69,0,253
5633,20,0,240,0,0,0,0,56,0,320
5640,75,3,647,4,0,0,0,285,0,1015
5641,95,0,572,5,0,0,6,340,0,1021
5642,36,0,152,0,0,0,0,64,0,252
5650,13,0,121,0,0,0,0,41,0,175
5651,3,0,48,0,0,0,0,23,0,76
5652,65,6,460,0,0,0,0,190,3,727
5653,13,0,40,0,0,0,0,25,0,79
5654,16,0,146,0,0,0,0,74,5,241
5655,16,0,69,0,0,0,0,24,0,102
5660,5,0,28,0,0,0,0,15,0,50
5661,6,0,87,0,0,0,0,56,0,151
5670,40,4,272,0,0,0,0,166,0,484
5671,17,0,104,0,0,0,0,44,0,165
5680,262,14,1150,5,5,0,8,659,5,2117
5690,613,17,1810,3,0,0,46,1149,9,3657
5700,1331,60,5267,46,48,0,121,4186,68,11132
5701,0,0,7,0,0,0,0,0,0,10
5710,704,3,1045,0,0,0,13,886,15,2673
5713,7,0,13,0,0,0,0,5,0,17
5715,7,0,24,0,0,0,0,9,0,40
5717,0,0,4,0,0,0,0,9,0,16
5719,5,0,21,0,0,0,0,15,0,44
5720,40,0,101,0,0,0,0,50,0,194
5722,30,0,158,0,0,0,0,118,3,311
5723,396,49,898,11,27,0,17,655,16,2062
5724,123,4,193,0,0,0,23,94,0,436
5725,418,44,1850,22,18,0,7,1520,15,3891
5730,9,0,44,0,0,0,6,36,0,100
5731,123,0,190,0,3,0,6,172,12,499
5732,38,3,65,0,0,0,7,96,0,210
5733,44,0,107,0,0,0,0,80,3,233
5734,29,0,54,0,0,0,16,64,0,169
5950,0,0,0,0,0,0,0,0,0,0
5960,0,0,0,0,0,0,0,0,0,5
7000,230,4549,128,122,22,120,7147,102,1420,13835
7001,0,0,0,0,0,0,0,0,0,0
7004,115,2456,87,74,9,51,3899,50,736,7477
7005,338,5195,288,288,18,84,5882,79,1140,13308
7007,46,1210,23,26,0,26,1456,16,257,3065
7008,128,5309,161,176,13,97,4917,76,1093,11977
7009,191,5636,358,303,6,122,4625,52,1160,12454
7010,112,8578,259,220,8,152,5701,85,1734,16845
7011,74,7731,50,57,3,69,5369,79,1274,14696
7012,0,370,0,4,0,9,350,3,95,835
7015,61,5501,22,42,3,40,3860,42,753,10331
7016,13,1026,0,0,0,9,1066,10,757,2873
7017,21,3129,8,7,0,15,1996,16,422,5616
7018,148,11341,90,67,11,88,7609,109,1571,21027
7019,32,2868,17,3,7,16,2625,15,531,6109
7020,27,1077,0,0,0,0,1175,22,174,2471
7021,15,1267,0,6,0,0,939,5,169,2408
7022,7,408,0,0,0,5,381,12,75,885
7023,0,159,0,0,0,0,128,4,36,332
7024,5,191,0,0,0,0,283,3,44,524
7025,4,900,0,0,4,0,671,5,108,1700
7026,4,525,0,0,0,7,291,6,99,933
7027,0,145,0,0,0,0,124,0,26,296
7030,34,8998,8,14,0,54,6584,56,1666,17402
7050,109,6258,48,61,5,50,4881,76,912,12404
7052,66,3535,35,21,4,30,2796,36,617,7140
7053,50,1339,11,6,6,6,1870,25,259,3574
7054,67,3837,6,4,8,21,4041,67,689,8740
7055,4,227,0,0,0,0,169,0,34,433
7109,46,3948,16,0,0,49,3804,51,892,8813
7112,38,1363,6,10,4,17,1300,15,302,3062
7113,11,464,0,3,0,8,484,4,131,1097
7116,32,997,0,4,0,15,952,14,234,2254
7117,6,442,4,5,0,5,321,4,67,857
7119,0,20,0,0,0,0,22,0,0,40
7120,0,1095,0,0,0,5,509,3,201,1828
7139,0,0,0,0,0,0,0,0,0,0
7140,43,5963,12,14,6,42,3844,42,1013,10975
7150,21,1092,3,7,0,14,1418,22,258,2837
7155,9,310,0,4,0,0,379,5,88,798
7162,3,214,0,0,0,0,309,7,53,588
7163,0,145,0,0,0,0,158,4,16,325
7170,15,2804,5,10,0,17,1872,19,266,5008
7171,23,1723,5,9,0,16,1274,10,224,3282
7172,5,1989,4,8,3,9,1288,12,341,3653
7173,43,2995,9,0,5,22,2879,28,630,6598
7174,0,64,0,0,0,0,93,3,24,181
7175,6,74,0,0,0,0,96,0,16,196
7176,0,82,0,0,0,0,54,0,20,164
7177,3,202,0,0,0,0,154,0,44,406
7178,4,136,0,0,0,0,124,0,34,310
7179,0,170,0,0,0,0,158,0,48,380
7180,4,74,0,0,0,3,58,0,19,152
7182,0,135,0,0,0,3,88,0,33,263
7183,0,21,0,0,0,0,26,0,3,51
7184,10,326,0,0,0,4,321,6,132,799
7185,0,38,0,0,0,0,47,0,7,97
7186,0,97,0,0,0,0,62,0,8,168
7187,0,35,0,0,0,0,74,0,30,136
7190,12,1896,6,4,0,10,881,7,302,3111
7209,4,246,0,0,0,0,121,0,37,405
7210,5,621,0,0,0,3,315,4,87,1037
7211,0,125,0,0,0,0,97,0,15,241
7212,7,1051,0,0,0,6,609,3,255,1931
7213,0,122,0,0,0,0,104,0,67,300
7214,0,324,0,0,0,7,212,0,72,611
7215,31,1569,9,9,7,18,1340,31,367,3383
7216,40,1770,9,0,0,18,1165,18,334,3354
7248,395,7127,374,232,14,216,5755,105,1557,15777
7249,74,6339,67,156,3,56,4712,63,1288,12774
7250,315,25003,195,319,32,177,17498,256,4271,48052
7252,26,1396,0,0,0,10,1041,13,294,2785
7253,19,2456,4,6,0,11,1871,12,540,4925
7254,3,229,0,0,0,3,188,10,64,488
7255,5,387,0,0,0,9,367,0,70,836
7256,3,713,0,4,0,3,675,0,178,1583
7257,0,25,0,0,0,0,28,0,12,70
7258,5,544,0,0,0,0,296,4,110,963
7259,3,203,0,0,0,0,189,3,58,462
7260,6,1862,0,0,0,0,1079,9,251,3219
7261,0,150,0,0,0,6,79,0,27,270
7262,14,922,0,0,0,0,596,6,165,1710
7263,0,305,0,0,0,0,216,4,71,594
7264,0,300,0,0,0,7,244,0,91,641
7265,0,113,0,0,0,0,97,0,22,233
7267,0,416,0,0,0,7,264,4,83,768
7268,8,490,3,0,0,4,424,10,98,1035
7270,23,2088,0,0,5,26,1485,20,441,4088
7275,19,1521,5,0,3,10,1234,17,330,3137
7276,8,262,0,0,0,4,218,5,73,568
7277,22,3155,11,15,5,14,2035,29,422,5707
7290,4,1293,0,0,0,5,841,6,120,2276
7291,4,315,0,0,0,0,191,0,51,560
7292,0,391,0,0,0,0,165,0,51,608
7300,12,1942,0,3,0,5,1081,19,352,3422
7301,10,2480,0,5,0,0,1404,19,385,4305
7302,0,985,0,0,0,11,504,7,161,1671
7303,9,1455,4,0,0,6,917,8,311,2717
7304,47,3193,0,11,0,29,1976,25,654,5936
7305,3,629,0,0,0,7,405,7,125,1169
7306,27,1908,4,4,0,26,1540,32,410,3953
7307,53,5648,4,17,6,39,3453,35,867,10124
7310,207,14080,66,27,10,109,10028,113,2474,27100
7315,69,7986,21,5,0,28,5212,61,1264,14659
7316,28,2996,0,7,0,18,2272,25,538,5887
7320,144,8302,62,55,0,64,6252,76,1284,16242
7321,21,2296,6,6,5,6,1744,35,559,4666
7322,17,2060,5,0,0,20,1394,23,381,3903
7325,53,4468,15,7,0,35,3186,39,787,8592
7330,18,3744,5,0,0,22,2116,12,660,6592
7331,0,305,0,0,0,3,178,3,60,551
7466,0,9,0,0,0,0,3,0,3,13
7467,6,1091,0,4,0,8,509,16,158,1791
7468,0,359,0,0,0,3,282,0,62,708
7469,4,366,0,0,0,6,307,3,79,765
7470,0,356,8,0,0,0,251,3,89,707
3000,4369,7214,2114,1081,61,201,17279,181,5484,37979
3002,100,1864,32,26,24,12,2163,31,706,4957
3003,298,1269,226,147,11,28,2509,42,981,5516
3004,392,3088,357,142,223,52,3544,52,1467,9311
3005,19,110,17,16,0,4,192,5,157,523
3006,1077,5148,802,476,75,126,7943,114,3046,18811
3008,514,2644,1220,388,13,105,4009,50,1496,10438
3010,30,562,30,21,11,8,790,8,137,1595
3011,1702,5914,1093,1084,26,133,8874,150,2492,21464
3012,2010,9642,1068,1386,21,222,9312,184,2447,26295
3013,407,5925,128,180,13,61,6900,84,1278,14967
3015,226,7977,190,494,34,101,7104,96,1247,17472
3016,183,7685,96,138,26,37,5985,74,1339,15558
3018,229,6566,161,210,11,76,4327,69,1047,12685
3019,1630,3307,462,758,3,102,2057,33,836,9199
3020,6120,20275,1752,3101,24,837,8743,184,3754,44784
3021,7880,25600,1381,3111,7,2234,8711,216,5045,54190
3022,233,1554,89,215,0,70,634,20,285,3102
3023,5229,33128,2278,4351,34,1684,10830,242,6205,63974
3024,437,11645,1546,915,13,730,6556,115,1900,23852
3025,425,5883,170,1941,7,53,2513,41,1124,12155
3026,0,40,0,0,0,0,18,0,21,72
3027,337,2126,1089,606,5,335,1629,24,495,6650
3028,979,14946,1270,1492,4,686,7302,148,2379,29198
3029,2307,40585,9764,10651,32,5271,16955,378,7998,93946
3030,3586,49839,6618,4180,67,2082,25917,446,7566,100311
3031,891,5857,225,1412,23,84,7861,123,2053,18533
3032,1706,12614,719,1182,24,167,10050,168,2814,29449
3033,353,9927,186,235,0,114,2601,23,1073,14512
3034,514,7734,128,256,10,89,1988,31,886,11633
3036,74,4164,32,110,0,16,1128,25,375,5921
3037,2296,30845,1723,2605,12,1774,7892,171,3841,51156
3038,966,18274,437,1267,6,406,3962,76,1877,27258
3039,250,7529,331,173,9,61,4599,61,1230,14252
3040,396,15397,815,383,26,158,6545,84,2135,25939
3041,180,7409,269,328,11,51,3133,67,961,12412
3042,250,10311,273,183,4,95,3413,77,1159,15762
3043,439,11159,336,732,5,101,3432,48,1449,17715
3044,461,14627,586,1582,13,201,7108,129,2409,27116
3045,0,19,0,0,0,0,13,0,71,100
3046,874,15497,2004,5641,13,553,6435,123,2923,34061
3047,446,6519,623,7961,0,319,2487,77,2477,20901
3048,398,6516,207,7034,0,167,1929,52,1712,18025
3049,181,5650,60,595,0,31,2033,22,684,9266
3050,3,29,3,7,0,0,23,0,61,119
3051,747,3415,281,1088,49,83,7080,96,2093,14939
3052,205,1523,113,227,3,32,2595,51,936,5697
3053,1388,3933,442,1363,60,91,8901,88,2284,18538
3054,142,2650,33,132,64,38,4500,67,808,8426
3055,289,5396,362,654,22,108,5981,104,1248,14160
3056,526,7376,457,899,71,133,12527,237,2246,24475
3057,265,3480,186,228,37,73,6070,98,1067,11502
3058,639,14530,804,2359,40,174,12276,234,2735,33783
3059,347,10157,253,1818,8,63,1825,49,946,15466
3060,232,6336,305,4476,5,123,1446,52,1063,14040
3061,63,2353,70,1778,0,54,336,12,388,5059
3062,0,0,0,0,0,0,0,0,0,0
3063,12,378,0,29,0,0,106,3,37,574
3064,2690,36057,3915,12312,18,4287,10282,330,5573,75458
3065,428,2436,45,572,65,28,5116,80,1680,10447
3066,432,2099,29,496,51,37,4068,65,1238,8512
3067,483,2288,108,108,41,50,4106,63,957,8199
3068,314,5312,67,233,110,86,10388,161,1990,18665
3070,440,8457,137,265,74,105,12619,202,2266,24567
3071,357,7343,449,409,49,145,8041,128,1643,18569
3072,1164,13614,826,1847,40,270,11675,229,3194,32848
3073,1547,24945,2074,3432,25,1005,12363,250,4845,50479
3074,1394,10472,816,2790,6,840,2623,86,1499,20522
3075,1167,11390,915,3249,0,907,2932,100,1940,22594
3076,1140,16309,1964,3264,6,1756,5346,136,2469,32395
3078,211,4425,137,68,50,55,5512,70,1109,11638
3079,277,7872,280,169,36,86,5964,79,1219,15990
3081,302,5197,272,1502,20,117,4318,106,1585,13424
3082,822,18182,821,1520,13,438,5696,120,2105,29713
3083,1388,15983,1035,1571,10,361,8627,151,2398,31526
3084,432,13398,429,372,22,125,8726,97,1911,25514
3085,297,7126,208,210,14,106,4755,59,1122,13882
3086,31,292,41,52,0,4,357,4,120,908
3087,139,4928,107,70,10,65,3085,40,587,9033
3088,336,14475,211,238,17,143,9518,166,1793,26890
3089,100,6139,52,47,7,45,4535,41,774,11739
3090,11,1495,5,18,5,15,683,0,124,2362
3091,11,914,7,0,0,6,498,11,136,1585
3093,26,2136,11,40,7,17,1423,25,209,3891
3094,81,4303,33,40,8,40,3762,46,644,8963
