Postcode,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
3131,61,26,20,166,41,62,38,55,67,91,65,151,164,266,227,254,113,215,45,24,9,6,16,72,6910
3132,41,8,5,43,23,17,25,17,36,43,56,202,176,205,194,187,93,196,47,18,3,0,9,61,5099
3133,45,4,33,14,3,15,10,12,16,25,19,65,66,85,98,135,67,258,67,15,9,0,7,47,7158
3134,72,28,15,108,43,104,55,66,48,91,172,461,364,408,241,228,108,286,68,23,13,6,20,118,9808
3135,37,15,10,47,21,36,23,33,27,60,90,272,214,255,138,142,73,144,30,8,0,0,11,51,6318
3136,72,25,28,111,53,69,59,97,91,158,216,465,413,532,314,329,141,326,62,19,9,4,18,128,14523
3137,28,9,3,27,9,16,8,28,21,39,41,106,81,143,95,87,35,54,0,0,0,0,0,35,4720
3138,37,8,4,27,17,25,11,45,35,61,88,161,147,224,128,161,49,89,15,3,3,0,3,56,6853
3139,40,4,11,12,11,13,9,27,18,30,27,82,49,51,23,24,9,14,0,0,0,0,0,20,4722
3140,21,10,6,38,19,23,35,50,53,66,86,136,113,159,81,100,29,77,13,3,3,0,9,38,5446
3141,150,27,41,233,74,93,64,135,118,150,241,527,391,782,517,623,293,1472,932,365,160,90,229,205,7897
3142,97,3,5,7,3,16,9,21,19,55,94,133,81,112,93,144,68,313,200,118,57,42,167,57,5180
3143,36,4,3,57,16,27,36,23,19,45,77,172,120,182,116,151,59,226,125,71,49,27,69,40,2893
3144,32,3,4,9,7,7,9,16,14,41,48,76,53,93,106,99,45,181,119,64,46,33,95,42,3697
3145,60,5,13,45,33,49,42,46,86,218,101,157,153,285,170,227,101,397,217,135,81,39,89,103,6699
3146,77,23,13,30,25,41,29,32,71,103,100,173,147,286,215,215,111,366,177,131,93,73,126,75,7789
3147,38,23,21,147,43,94,65,64,51,45,20,48,53,98,77,115,58,225,114,72,35,16,30,66,4203
3148,26,17,10,115,27,33,25,28,15,13,22,71,51,94,89,122,69,184,100,44,3,3,16,53,2395
3149,103,10,9,29,25,47,23,30,26,32,36,109,108,247,265,274,146,667,301,102,37,7,28,80,10587
3150,176,15,19,50,31,40,21,38,35,46,45,125,143,326,417,489,307,1120,450,116,55,20,54,163,18387
3151,33,4,0,14,15,15,10,14,10,16,13,48,46,67,109,120,63,180,41,18,9,0,4,35,3184
3152,70,4,20,92,18,27,50,27,16,23,35,118,149,276,232,265,133,344,93,34,9,3,16,81,10251
3153,45,14,9,115,44,42,50,70,56,113,176,341,271,323,144,164,56,76,3,6,0,0,10,71,6417
3154,7,0,3,9,13,11,0,11,6,10,5,16,13,24,16,7,0,12,6,0,0,0,0,11,1511
3155,53,24,16,69,44,47,31,61,57,110,140,288,298,429,192,160,56,79,12,3,5,0,12,79,7349
3156,60,10,22,95,32,54,31,88,67,95,103,259,245,325,205,215,66,132,26,6,7,0,6,101,12115
3158,11,3,0,6,0,4,4,10,8,12,14,27,20,32,24,24,6,20,12,0,0,0,0,7,2317
3159,6,3,0,0,0,3,3,0,0,5,0,7,6,6,0,0,0,5,0,0,0,0,0,4,904
3160,21,4,5,21,0,9,4,12,10,17,20,27,20,26,30,38,9,26,8,7,0,0,0,11,3125
3161,77,13,18,22,14,41,30,52,70,126,66,101,109,179,157,173,72,327,203,121,53,38,62,71,4534
3162,85,13,12,41,13,32,15,36,55,59,65,105,72,114,94,115,86,332,208,113,68,31,60,70,5388
