POSTCODES,Major Cities of Australia ,Inner Regional Australia ,Outer Regional Australia ,Remote Australia ,Very Remote Australia ,Migratory - Offshore - Shipping ,Total
2502,5200,0,0,0,0,0,5200
2505,2241,0,0,0,0,0,2241
2506,3088,0,0,0,0,0,3088
2508,2821,355,0,0,0,0,3174
2515,4504,0,0,0,0,0,4504
2516,2358,0,0,0,0,0,2358
2517,5527,0,0,0,0,0,5527
2518,8508,0,0,0,0,0,8508
2519,7046,0,0,0,0,0,7046
2522,0,0,0,0,0,0,0
2525,4353,0,0,0,0,0,4353
2526,5721,0,0,0,0,0,5721
2527,7494,237,0,0,0,0,7739
2528,10361,0,0,0,0,0,10361
2529,9667,72,0,0,0,0,9738
2530,12085,127,0,0,0,0,12214
2533,0,7133,0,0,0,0,7133
2534,0,2766,0,0,0,0,2766
2535,0,3792,0,0,0,0,3792
2536,0,11561,0,0,0,0,11561
2537,0,5390,1917,0,0,0,7305
2538,0,1041,0,0,0,0,1041
2539,0,11558,305,0,0,0,11860
2541,0,11468,0,0,0,0,11468
2545,0,0,605,0,0,0,605
2546,0,0,5797,0,0,0,5797
2548,0,0,4482,0,0,0,4482
2549,0,0,1847,0,0,0,1847
2550,0,0,7700,0,0,0,7700
2551,0,0,1832,0,0,0,1832
2555,66,8,0,0,0,0,74
2556,616,169,0,0,0,0,785
2557,2809,0,0,0,0,0,2809
2558,3696,0,0,0,0,0,3696
2559,982,0,0,0,0,0,982
2560,26835,879,0,0,0,0,27717
2563,106,0,0,0,0,0,106
2564,4965,0,0,0,0,0,4965
2565,7136,0,0,0,0,0,7136
2566,8790,0,0,0,0,0,8790
2567,12338,0,0,0,0,0,12338
2568,258,133,0,0,0,0,386
2569,41,430,0,0,0,0,468
2570,11726,2268,0,0,0,0,13996
2571,0,4123,0,0,0,0,4123
2572,0,1607,0,0,0,0,1607
2573,0,1930,0,0,0,0,1930
2574,0,2068,0,0,0,0,2068
2575,0,6491,0,0,0,0,6491
2576,0,6295,0,0,0,0,6295
2577,0,7259,0,0,0,0,7259
2578,0,1367,0,0,0,0,1367
2579,0,2027,0,0,0,0,2027
2580,0,13082,590,0,0,0,13674
2581,0,983,0,0,0,0,983
2582,0,5060,41,0,0,0,5095
2583,0,1786,654,0,0,0,2438
2584,0,275,0,0,0,0,275
2585,0,137,6,0,0,0,140
2586,0,999,522,0,0,0,1521
2587,0,1422,0,0,0,0,1422
