Postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not_stated_income,Not_applicable_income,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated_rent,Not applicable_rent
2018,106,1808,490,895,1167,1119,935,1001,1131,1319,840,731,532,792,330,1226,2597,59,47,26,235,54,59,36,62,19,35,21,59,34,66,61,208,170,506,467,373,127,55,59,100,4408
2019,35,721,253,376,510,516,509,575,720,817,684,593,460,676,283,871,2229,26,8,13,67,17,23,9,29,16,27,11,29,23,51,23,56,24,179,238,173,68,34,26,53,2901
2020,78,1605,339,609,767,777,796,894,1100,1257,946,763,604,895,364,1009,1963,52,10,7,24,3,28,8,26,10,26,31,42,34,44,31,61,35,353,592,719,166,73,77,76,3507
2021,59,733,281,340,427,480,604,542,754,1074,1031,973,742,1543,2200,1516,1998,66,5,6,33,6,19,14,39,18,47,54,130,107,160,98,125,64,421,318,255,210,144,650,90,4837
2022,43,723,288,391,484,542,514,618,692,849,707,686,508,975,1169,1470,1838,54,4,7,30,9,30,11,19,15,17,13,42,31,58,47,78,41,229,303,294,215,158,361,75,3740
2023,39,894,276,270,249,260,335,367,466,641,591,566,460,930,1576,854,1940,55,5,4,3,0,5,3,8,4,10,6,11,13,15,19,37,22,200,283,197,121,63,218,31,3323
2024,42,621,254,301,368,413,417,444,597,666,566,580,447,910,1211,1209,2029,29,8,4,51,8,15,4,12,17,16,14,24,11,41,35,55,25,261,318,256,156,67,181,44,3186
2025,24,427,153,166,220,248,266,254,378,436,389,425,339,655,1142,805,1092,39,4,3,10,4,8,0,3,0,9,6,10,10,9,12,24,30,128,180,176,78,74,246,31,2578
2026,106,1446,607,851,1131,1289,1308,1531,1899,2347,2008,1942,1406,2980,3084,3890,4672,130,21,10,133,17,39,28,46,25,44,39,109,43,118,115,222,127,962,1209,1106,766,497,924,188,9345
2027,21,449,120,175,196,198,253,289,352,526,459,478,401,834,1431,1101,900,46,0,0,0,0,0,0,3,0,5,4,14,12,40,29,53,21,130,182,173,160,147,315,45,3293
2028,13,268,86,102,123,159,164,148,257,289,267,300,243,513,669,498,532,28,0,0,0,0,5,0,6,6,5,4,6,0,9,4,11,7,72,158,187,100,63,138,23,1696
2029,36,682,242,262,282,383,386,433,534,698,526,584,407,771,1125,808,1795,47,4,6,13,3,10,4,14,3,10,10,24,19,27,34,42,32,264,423,244,124,77,221,37,2883
2030,59,1357,385,423,442,412,509,523,637,784,604,606,517,980,1949,900,2992,54,4,0,0,3,6,4,5,4,6,5,20,7,14,7,22,10,144,203,148,101,62,266,51,4431
2031,98,2265,901,1091,1269,1450,1453,1440,1892,2509,2346,2243,1647,2970,2688,2972,5509,136,26,19,70,23,39,35,63,44,69,50,89,43,91,75,253,132,1453,1819,870,388,237,421,139,8897
2032,167,3405,585,948,1074,998,971,797,863,1021,688,609,446,670,485,1064,1893,62,27,26,207,46,61,62,93,45,72,40,70,62,112,88,151,95,550,490,311,207,140,187,147,3345
2033,61,1525,301,485,527,553,699,586,728,841,638,540,416,703,573,933,1458,59,5,0,20,3,14,15,22,16,26,14,30,25,67,41,118,68,642,480,228,143,58,146,62,2546
2034,49,1003,475,693,807,841,821,833,1132,1517,1333,1268,1059,1880,1774,1971,3256,51,49,51,288,68,84,40,65,35,47,31,66,43,61,29,108,56,622,911,628,324,185,368,109,5400
2035,127,3281,1000,1595,1978,2072,1718,1807,2088,2488,1761,1604,1227,2061,1640,2349,5698,111,78,72,435,85,125,73,106,36,67,39,83,47,73,48,133,79,890,881,672,354,193,273,171,9515
2036,123,2331,854,1502,1751,1808,1526,1558,1868,2011,1389,1288,884,1418,904,4070,5122,82,81,63,403,99,161,83,96,46,51,19,67,51,119,135,281,137,499,331,318,166,108,187,151,7582
2037,69,1313,414,823,919,868,786,775,968,1144,870,907,640,1191,1154,1724,1551,56,60,59,334,83,91,76,118,55,82,60,137,101,158,76,162,57,511,431,377,349,147,335,142,4297
2038,31,517,221,297,412,367,395,436,502,621,511,537,421,959,944,705,1564,35,7,11,32,8,21,14,25,29,29,47,55,43,73,57,56,29,196,185,199,139,90,144,40,2768
2039,21,405,166,193,249,314,270,286,385,541,510,502,437,994,1233,712,1511,21,4,0,15,5,4,4,12,10,23,14,25,17,28,13,30,17,184,220,178,197,137,189,30,2780
2040,56,1095,500,890,1034,946,913,898,1151,1353,1198,1215,976,2016,1872,1652,4465,54,26,33,240,31,44,38,54,36,48,50,59,62,97,71,124,78,387,483,483,317,158,173,104,6282
2041,41,773,350,481,528,618,537,546,707,857,772,834,660,1535,2411,1307,2736,63,21,19,150,29,38,27,37,31,59,15,54,34,59,38,84,43,251,296,390,226,159,322,74,5008
2042,58,1020,383,847,795,908,896,989,1343,1739,1354,1260,918,1787,1024,1874,1926,44,28,29,125,29,36,41,70,46,72,79,213,113,200,137,218,121,704,645,524,330,215,297,95,5069
2043,19,313,122,211,221,247,275,300,458,698,655,708,549,1092,542,714,885,21,12,11,51,9,16,6,15,9,15,16,31,8,29,15,26,13,268,394,392,181,85,93,26,2313
2044,28,440,154,347,455,444,396,448,557,610,519,510,369,605,245,548,1171,15,6,4,8,4,5,4,20,8,12,14,40,14,35,14,40,13,143,209,139,73,54,48,28,2398
2045,15,495,217,300,427,383,325,283,335,395,284,277,181,419,552,361,1206,24,4,0,9,0,5,4,13,6,10,4,8,0,14,11,31,7,62,47,26,39,24,35,14,2005
2046,97,1627,717,1204,1528,1462,1221,1270,1470,1729,1392,1397,1103,2158,1862,1781,4790,84,26,21,194,43,77,24,45,18,34,18,44,19,45,34,105,60,710,720,492,258,95,139,84,8154
2047,34,665,265,385,489,482,480,484,645,837,663,692,588,1105,1179,1044,1906,53,8,8,34,4,15,10,20,12,16,17,29,10,19,23,58,34,369,356,245,159,75,130,46,3807
2048,28,370,168,280,320,428,359,410,518,647,544,503,350,682,505,706,1110,24,4,7,15,4,8,12,21,18,28,17,48,38,77,51,87,56,299,158,116,102,75,101,30,2174
2049,35,616,279,466,512,586,603,580,684,884,728,665,540,946,575,1045,1536,42,5,12,27,15,33,30,67,37,51,59,90,74,137,80,185,87,442,239,163,112,49,60,35,3075
2050,51,972,191,328,348,400,386,354,522,656,627,584,490,957,606,806,678,30,22,23,65,11,48,19,17,54,49,376,348,65,44,35,63,31,328,596,324,158,76,113,58,2444
2052,43,1398,388,394,218,191,187,104,75,69,30,27,14,16,10,255,20,4,7,0,12,0,0,0,0,6,15,5,7,0,23,82,101,11,79,20,13,8,0,5,21,125
2060,40,858,277,327,398,459,565,547,730,1047,913,996,798,1671,1698,1244,1423,76,7,9,21,11,17,6,23,18,28,17,37,51,130,79,188,121,663,645,422,295,184,330,97,4574
2061,19,306,116,185,203,184,176,192,275,379,384,388,326,758,988,620,441,32,19,6,127,16,24,4,11,4,3,5,11,11,13,38,74,27,240,285,234,136,125,274,45,2123
2062,18,366,146,167,207,222,263,266,318,464,438,439,381,745,906,379,1279,24,5,7,26,0,11,0,6,4,8,6,17,13,20,29,61,36,265,299,153,106,69,113,33,2140
2063,22,503,258,191,189,192,256,237,281,313,258,290,220,421,1013,282,1423,21,0,0,0,0,0,0,0,3,0,0,3,0,3,3,9,7,58,56,36,16,33,128,11,1871
2064,25,766,274,385,385,380,380,423,506,665,508,551,406,858,679,497,1832,32,11,9,84,12,19,10,15,5,17,13,17,4,23,13,39,27,535,594,139,50,31,58,31,2257
2065,75,1794,676,797,813,983,1039,1200,1591,2160,1967,1979,1638,3569,3360,2070,4389,96,28,17,86,18,31,15,33,23,42,30,54,51,76,118,263,172,1334,1323,821,477,324,460,168,8826
2066,92,2466,952,964,1081,1203,1213,1271,1664,2163,1812,1714,1424,2813,3087,1617,6086,80,32,40,102,11,28,27,41,12,29,15,58,43,88,67,207,181,1269,691,357,207,125,235,93,9426
2067,157,3766,884,1149,1229,1151,1189,1301,1454,1650,1303,1122,925,1795,1575,1436,4330,137,7,5,27,17,51,14,34,15,28,16,40,27,49,35,125,84,806,986,574,495,244,403,161,6677
2068,52,1307,591,612,646,669,620,655,734,885,681,711,535,1218,2150,852,3908,51,11,0,20,5,6,6,19,5,9,10,33,13,14,13,42,29,231,188,133,114,106,235,40,4929
2069,55,1318,566,499,473,518,563,511,739,737,627,608,455,992,1789,716,3069,48,4,0,0,0,6,0,6,11,4,6,10,10,11,12,19,11,135,129,108,55,52,193,33,4233
2070,37,1334,605,525,464,480,571,555,626,755,610,586,480,1012,1526,518,2821,44,4,21,6,13,6,4,14,7,16,4,20,14,20,8,30,15,163,118,90,73,59,220,34,4003
2071,72,1637,669,562,463,424,519,495,652,795,614,565,466,952,1466,645,2551,48,0,0,0,0,4,0,0,3,4,4,4,3,10,0,18,3,159,147,154,69,81,195,29,3954
2072,13,931,362,293,278,274,331,313,368,406,346,346,273,568,689,491,1385,26,0,0,4,0,6,0,0,3,6,0,4,0,9,5,19,7,133,109,155,91,52,99,22,2079
2073,49,1610,775,643,531,550,598,613,723,825,685,672,607,1309,1943,591,3636,36,5,6,8,4,3,0,3,3,3,3,19,0,5,4,12,3,99,133,117,74,68,166,26,4827
2074,57,1992,956,901,904,969,998,921,1124,1250,901,932,753,1711,2379,1209,4312,35,5,6,13,14,19,6,22,6,10,4,16,8,12,6,25,25,169,227,116,99,61,192,35,7070
2075,65,1982,815,817,731,841,894,833,1043,1188,935,897,711,1481,2115,836,4280,46,4,0,4,0,3,4,0,4,0,3,11,7,3,3,4,0,71,207,149,102,90,228,36,6496
2076,90,2346,1007,1066,1029,1025,1123,1068,1193,1305,1124,1088,872,1848,2182,1385,4903,56,8,18,43,20,27,18,23,9,10,15,38,14,31,12,38,25,169,234,165,88,48,141,54,7318
2077,121,3558,1394,1746,1820,2008,1894,2099,2445,2656,2007,1806,1412,2612,1045,1751,7411,97,27,25,140,44,55,54,79,55,48,47,135,53,139,123,424,369,1933,742,217,78,38,16,132,10046
2079,12,527,264,314,362,358,404,390,457,508,396,351,293,493,277,231,1472,12,0,0,0,0,3,0,0,5,0,7,5,5,7,6,7,8,69,78,44,15,4,6,11,2121
2080,8,131,71,78,89,88,93,100,97,118,88,76,57,108,56,69,362,4,0,0,4,0,0,0,0,0,0,0,3,0,5,4,3,3,15,10,12,0,0,0,3,526
2081,6,391,232,258,249,242,308,277,306,376,279,269,212,402,218,180,1169,12,5,0,0,0,0,0,0,0,3,3,0,0,4,3,8,4,47,55,25,12,3,0,9,1615
2082,13,336,208,235,269,265,285,339,351,371,277,281,190,358,180,210,1243,5,0,0,5,0,0,0,0,4,0,4,4,4,4,3,9,4,43,66,29,7,4,3,3,1692
2083,4,105,44,66,88,101,96,115,130,93,75,77,39,100,60,111,215,4,0,0,0,0,0,3,8,8,10,0,12,0,6,0,7,6,19,15,0,0,0,0,3,750
2084,11,273,154,153,176,156,178,210,224,225,176,161,107,193,277,236,710,13,0,0,5,4,3,0,0,0,4,0,9,0,0,0,0,0,9,22,15,15,15,26,10,1050
2085,31,758,473,509,589,721,632,659,660,733,516,484,368,738,761,698,2281,19,4,0,4,0,0,0,4,0,0,4,0,0,3,3,6,4,4,21,35,44,62,87,10,3782
2086,36,983,544,536,583,597,689,676,820,857,650,551,469,908,902,470,3148,26,20,0,0,0,0,0,0,0,3,6,19,4,5,5,6,7,24,36,67,107,78,105,13,3879
2087,37,971,559,570,633,677,676,602,634,684,539,506,427,855,983,487,2950,31,0,14,51,9,10,8,12,5,9,0,3,4,3,5,12,13,47,74,78,89,90,89,25,3804
2088,81,2127,826,808,798,914,907,1053,1308,1601,1381,1463,1079,2440,4557,2133,5014,96,14,5,27,7,24,14,30,12,21,12,36,24,90,115,220,151,779,621,353,251,174,636,103,9418
2089,32,581,218,271,310,394,432,467,635,905,842,803,664,1433,1380,1061,1503,51,6,4,10,7,17,15,14,19,15,8,36,32,67,104,193,108,619,548,373,208,113,193,45,3617
2090,49,730,308,349,385,513,512,557,694,941,837,867,677,1479,1827,992,2006,56,4,4,14,8,14,7,15,20,12,17,37,27,51,47,106,75,540,596,417,229,109,232,53,4350
2092,25,531,270,262,255,269,274,257,315,350,280,303,242,476,980,261,1809,10,0,0,15,3,8,3,4,0,10,5,15,5,9,0,8,0,21,17,34,32,26,139,10,2088
2093,66,1494,730,757,812,852,1058,1013,1202,1425,1114,1023,751,1629,2376,1291,5286,49,11,8,32,18,20,7,19,18,23,17,24,14,45,45,94,53,516,366,205,129,95,287,59,6794
2094,11,299,148,168,156,213,223,266,307,449,320,354,268,585,719,335,1030,19,0,0,7,0,5,0,3,5,4,3,9,4,8,11,26,9,126,153,123,76,50,130,24,1915
2095,47,840,349,430,507,592,637,641,856,1119,925,946,754,1608,2003,1558,2058,69,16,9,92,10,20,41,24,20,22,11,28,14,43,20,74,60,453,539,516,374,264,574,84,5102
2096,24,729,394,434,449,545,623,691,895,1107,892,858,636,1210,1276,1010,2873,37,0,0,32,6,12,0,13,6,17,5,26,22,31,34,93,64,518,491,229,121,76,183,37,4280
2097,33,973,542,542,622,717,850,847,1032,1140,823,796,520,963,966,1027,3128,35,0,0,10,9,7,5,12,8,11,5,19,4,18,20,43,27,275,197,117,91,67,114,28,4587
2099,130,2284,1219,1705,2038,2412,2382,2615,3032,3140,2246,1889,1312,2125,1554,2466,7377,95,38,38,187,51,67,40,55,32,71,31,86,53,147,139,282,201,1559,873,445,240,139,214,151,11423
2100,62,1390,793,837,1067,1118,1148,1195,1310,1443,1108,996,661,1292,1115,986,4394,46,5,64,48,7,28,22,30,7,17,9,24,10,30,29,46,31,190,205,138,153,96,126,38,5996
2101,53,1025,595,742,893,1011,1079,1131,1339,1449,1164,1003,633,1189,936,1591,3565,51,10,16,31,45,25,5,29,30,13,19,35,16,53,43,76,56,379,321,212,145,72,115,74,6147
2102,10,470,230,276,308,371,379,429,449,488,402,392,245,491,342,505,1710,21,0,0,0,3,0,0,0,0,3,0,8,0,7,4,12,3,41,51,135,56,28,60,12,2210
2103,33,575,366,458,508,567,620,622,703,824,601,498,375,648,599,780,1894,25,0,0,3,0,0,0,10,17,4,0,13,4,12,19,32,16,170,166,82,79,60,86,24,3529
2104,9,231,119,164,188,266,250,206,230,229,134,154,118,207,292,342,488,3,0,0,9,11,3,0,0,0,0,0,0,0,4,0,5,0,4,4,6,5,3,21,11,1578
2105,9,127,66,66,65,76,96,92,99,133,89,98,62,147,167,167,290,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,13,9,5,8,7,7,0,890
2106,33,602,339,389,428,453,508,538,572,693,547,466,331,550,702,404,1746,25,0,0,0,0,3,5,3,0,5,10,22,8,30,22,48,25,157,99,72,57,37,84,24,3156
2107,50,984,568,562,618,739,875,770,893,1016,743,694,500,901,1144,689,2926,30,0,0,3,0,8,3,3,0,7,7,18,3,13,15,14,18,107,77,79,85,58,144,16,5164
2108,7,118,40,72,62,84,74,98,88,118,73,79,67,123,219,155,190,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,13,6,20,8,11,33,3,1223
2109,32,723,186,278,163,175,174,122,125,158,110,118,77,134,47,296,187,7,0,0,8,10,13,4,3,8,11,10,10,0,18,0,15,9,279,84,77,5,0,4,15,358
2110,54,1072,324,340,378,394,445,361,416,501,404,412,321,653,1356,911,2015,26,13,10,66,13,19,11,9,10,14,6,16,4,17,21,37,10,99,71,50,28,36,95,28,2957
2111,49,1006,453,607,732,742,622,696,792,995,830,766,594,1026,1093,824,2582,46,20,22,149,18,39,19,25,13,24,6,45,50,131,102,165,89,307,209,129,80,46,68,65,4310
2112,145,3225,1059,1605,1766,1716,1681,1810,2145,2467,1725,1524,1162,1883,1306,1897,5733,107,14,30,120,45,49,44,70,45,70,31,98,81,240,236,369,174,851,772,442,153,83,87,136,8733
2113,68,1775,602,895,1017,1110,891,928,1056,1323,974,930,760,1295,762,849,3150,49,24,17,101,31,53,35,60,39,41,14,42,25,60,73,184,201,670,285,180,87,41,46,69,5061
2114,97,2584,806,1172,1213,1202,1226,1341,1580,2000,1425,1286,945,1501,747,956,3971,70,18,12,59,26,53,28,48,31,56,56,162,175,320,295,412,206,752,499,224,90,28,29,82,6050
2115,53,968,382,637,730,622,565,546,651,752,534,470,293,493,199,646,2180,29,56,36,148,39,65,37,57,85,117,26,44,18,30,25,53,24,206,145,62,28,12,4,51,2561
2116,33,686,243,402,459,375,339,369,438,487,347,266,211,293,91,319,1293,21,18,15,94,19,40,19,28,12,21,12,24,12,34,17,55,39,232,85,30,3,0,0,33,1623
2117,101,2222,905,1239,1445,1231,1096,1185,1282,1524,1022,894,671,885,459,1129,4009,57,80,47,312,74,104,65,87,65,67,34,71,35,87,84,164,103,502,285,122,30,17,6,99,5393
2118,119,3096,1070,1268,1294,1216,1335,1300,1446,1651,1185,1046,799,1345,617,983,4573,51,17,3,44,35,35,19,17,16,50,12,27,15,31,19,107,72,733,434,188,73,19,6,70,6404
2119,25,1088,527,521,463,435,539,502,609,653,543,539,481,921,1017,570,2222,24,0,0,0,0,0,0,5,5,5,4,3,3,23,13,13,12,40,73,75,56,24,27,8,3489
2120,62,1772,903,887,941,902,1031,989,1173,1295,1031,973,787,1553,1098,799,4002,38,10,6,47,10,22,17,19,11,24,15,26,17,21,17,41,29,240,226,138,78,21,13,39,6044
2121,105,3745,1268,1340,1295,1280,1361,1289,1613,1924,1387,1346,1062,1991,1230,1053,4927,97,6,3,23,8,26,39,47,19,24,16,32,25,23,29,108,142,765,783,299,126,76,50,80,7265
2122,151,4738,1220,1691,1806,1725,1721,1590,1861,2176,1521,1344,971,1727,771,1596,4547,115,31,29,138,38,111,61,84,49,56,33,55,32,119,86,297,231,1092,539,315,125,60,72,186,7861
2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2125,44,1645,767,739,711,662,740,807,859,1137,880,830,588,1230,1222,497,3024,16,0,10,20,9,19,9,10,6,9,4,11,4,12,4,14,3,82,99,87,48,27,50,22,4867
2126,72,2183,846,915,955,838,864,893,1002,1182,923,873,696,1454,1064,585,3429,25,0,7,5,0,4,0,7,0,9,10,12,5,7,5,10,6,69,203,205,119,62,32,23,5344
2127,69,1468,312,434,446,390,549,663,882,1244,958,928,693,1201,535,1307,2462,41,0,0,0,3,10,0,7,11,13,12,14,9,10,13,116,195,1243,738,205,123,35,28,63,3700
2128,19,224,58,146,100,109,129,144,178,190,135,114,44,84,21,1983,493,9,0,0,0,0,0,0,4,3,12,9,20,14,9,20,39,16,113,48,16,0,4,0,9,557
2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,18,409,172,278,307,417,338,400,491,611,468,448,330,550,392,543,1127,27,5,0,5,9,23,19,22,13,44,33,44,23,101,122,159,105,450,146,59,36,26,12,28,1858
2131,115,2406,734,1225,1494,1822,1460,1548,1772,1880,1240,1053,770,1158,487,1748,2942,89,12,14,44,36,73,47,74,63,75,50,164,100,249,243,547,373,1318,412,155,100,36,39,113,5343
2132,59,1049,394,583,685,738,584,549,638,730,482,469,356,646,392,526,1756,33,3,11,34,11,19,17,17,16,14,16,31,21,43,35,97,41,199,140,83,50,28,16,49,2830
2133,38,1001,396,591,744,705,621,626,785,770,598,449,337,549,240,561,2010,22,13,11,67,10,21,13,25,14,25,15,38,49,167,97,132,57,196,147,57,20,5,14,36,3036
2134,161,3041,540,972,1152,1090,973,938,1093,1132,633,525,335,567,279,1021,1572,73,14,11,96,15,31,28,51,35,47,30,78,43,71,50,106,64,713,534,432,137,53,43,129,3171
2135,148,3428,760,1162,1582,1525,1485,1448,1643,1850,1211,1111,748,1182,1062,1730,3191,101,15,9,63,27,47,27,57,18,50,28,70,20,71,73,179,124,965,632,240,160,72,81,123,5602
2136,32,774,264,388,508,436,402,419,504,507,424,270,228,367,176,417,1244,21,3,6,31,7,14,6,21,12,3,3,21,6,30,20,54,33,200,141,47,19,4,10,28,1966
2137,103,2270,833,1188,1442,1391,1305,1273,1630,1867,1476,1389,1014,1832,1517,1489,4480,63,17,20,93,22,40,17,38,29,41,13,57,26,56,38,118,58,632,448,446,199,119,125,102,7679
2138,159,3202,569,768,857,796,912,1001,1312,1579,1060,1002,733,1313,762,1058,2925,69,12,3,22,8,21,3,19,7,18,11,43,20,41,14,48,32,787,985,914,198,82,83,113,4708
2139,0,0,0,0,9,11,3,3,3,3,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2140,90,2078,449,741,774,781,850,1038,1171,1347,901,748,473,640,212,1431,2447,50,17,12,56,33,31,19,48,18,28,11,55,30,104,120,287,234,1056,396,117,35,27,14,82,3167
2141,233,4016,983,1905,2118,1985,1806,1966,2113,1891,1172,787,556,694,291,1689,4481,84,30,26,79,23,77,43,58,30,68,48,176,87,224,160,325,144,855,424,168,64,12,22,157,5972
2142,196,2889,782,1911,1898,1657,1463,1643,1912,1669,1043,690,457,536,155,2140,5266,78,72,59,241,63,160,71,117,43,106,77,175,148,362,345,672,303,818,163,35,14,7,13,132,5258
2143,49,1072,307,617,713,593,514,558,622,565,340,276,137,192,63,542,1771,25,20,14,77,18,35,25,31,11,29,14,48,42,79,36,100,59,218,59,30,12,0,4,54,1992
2144,384,5241,1194,2953,3107,2627,2365,2493,2530,2080,1034,653,375,410,116,2561,7246,113,25,32,159,56,92,53,90,53,110,66,212,192,502,281,554,252,1115,404,77,34,6,13,190,6495
2145,336,7772,2451,4090,4781,4556,3917,4318,5354,5639,3946,3461,2377,3510,1025,4702,16978,152,84,100,510,112,252,143,212,117,146,83,214,130,448,582,1531,941,2703,587,169,36,5,18,247,18338
2146,76,1690,573,923,1109,994,919,1068,1242,1349,947,762,539,660,199,853,3564,31,13,19,68,30,42,21,45,23,35,24,53,39,107,136,238,126,360,85,8,3,0,5,59,4584
2147,176,3040,1301,2029,2446,2126,1998,2202,2694,2749,1862,1563,1000,1404,431,2189,7119,79,84,68,360,71,133,67,134,54,100,55,122,82,283,272,420,201,559,144,33,3,4,6,126,9800
2148,323,5985,1946,3569,4336,3995,3458,4192,5167,5023,3052,2204,1387,1458,378,3715,12892,134,76,72,310,73,167,106,175,83,154,112,364,316,914,929,1357,454,1110,173,32,14,3,6,245,14661
2150,133,3967,718,1442,1681,1485,1510,1715,2186,2359,1826,1576,1210,1536,387,2558,5212,90,36,26,163,43,93,45,101,41,105,95,299,215,635,634,1150,585,2002,792,121,49,26,25,185,5194
2151,83,1968,670,1051,1158,1331,995,1115,1396,1532,1200,993,750,1120,469,1503,3972,68,20,37,151,29,70,38,71,26,40,30,94,68,253,227,340,164,712,288,89,28,10,3,87,5420
2152,45,848,327,530,603,726,622,604,761,874,630,596,439,670,235,565,2118,15,10,18,47,18,27,14,43,30,36,17,40,20,41,42,168,137,472,110,27,4,6,0,47,3344
2153,169,5005,2244,2578,2798,2738,2951,2842,3253,3861,3006,2801,2235,4005,2015,2108,11943,66,8,5,23,27,27,22,27,25,35,17,47,32,49,39,130,116,1120,781,283,108,50,51,92,16239
2154,114,3834,1592,1853,1808,1912,2058,2001,2166,2595,1948,1828,1422,2800,2088,1866,7713,71,5,12,27,25,14,16,35,12,28,17,25,18,35,15,77,29,628,693,323,151,104,74,93,11219
2155,148,5021,1966,2060,2057,1931,2293,2504,3010,3706,2936,2977,2294,4152,2150,1953,14295,62,0,0,3,0,12,4,7,21,47,10,55,23,37,19,49,25,352,990,723,224,75,48,80,14100
2156,40,994,493,622,685,695,771,695,747,807,664,627,478,760,865,573,2417,28,0,0,6,6,4,6,11,0,3,4,11,0,3,5,15,6,29,45,37,25,16,28,20,4001
2157,15,272,143,186,211,213,211,204,274,221,161,171,105,171,147,287,742,25,0,0,0,0,0,0,9,0,7,3,4,5,4,5,12,5,24,17,14,5,5,5,13,1040
2158,40,817,376,412,415,457,488,439,489,558,403,366,276,499,548,420,1569,31,3,0,5,0,3,3,3,0,13,7,10,7,9,0,20,0,67,65,57,29,10,22,20,2552
2159,15,384,186,227,270,295,327,296,273,336,263,248,168,248,253,238,947,19,0,0,0,0,0,0,9,0,10,0,15,0,19,4,12,7,30,35,13,5,6,12,18,1521
