Postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable
6447,0,4,0,4,4,0,12,11,12,13,13,7,3,11,18,33,34
6448,46,28,13,37,25,35,28,15,26,20,20,15,9,8,0,42,83
6450,45,719,425,636,889,859,830,793,758,849,594,536,385,560,266,1484,2763
6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
6460,4,28,21,42,74,68,34,50,45,54,36,22,8,23,13,79,155
6461,3,25,10,42,39,36,42,25,33,47,21,15,6,15,22,37,120
6462,0,6,0,4,10,8,15,14,3,8,3,9,3,0,6,11,33
6463,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0
6465,0,0,0,0,0,4,0,0,0,5,0,0,4,4,0,4,4
6466,0,3,0,5,7,5,3,4,6,7,0,0,0,0,4,5,8
6467,0,0,0,3,0,0,4,0,4,0,5,0,3,0,0,0,7
6468,4,9,9,18,9,11,20,14,12,14,18,14,7,14,6,23,52
6470,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
6472,0,4,12,11,8,7,11,7,26,15,3,11,3,7,8,8,50
6473,3,3,0,4,3,0,0,9,0,3,7,0,0,0,0,4,5
6475,4,23,7,26,39,17,28,20,25,30,17,21,6,14,11,25,82
6476,0,0,5,6,0,5,0,8,7,6,0,5,0,0,6,0,8
6477,5,13,5,12,21,25,21,10,22,20,12,9,7,15,0,24,56
6479,7,25,11,23,48,27,43,24,40,41,20,23,15,24,13,45,118
6480,4,3,0,0,0,4,5,0,5,0,0,0,0,4,3,6,8
6484,0,0,0,11,0,0,0,0,3,5,5,6,11,19,5,24,0
6485,0,24,9,32,52,50,36,17,33,25,23,17,9,13,4,73,75
6487,0,5,0,0,3,4,4,4,6,5,6,0,0,0,0,14,9
6488,0,5,5,21,10,18,14,10,18,7,11,3,0,9,0,29,36
6489,0,0,5,6,11,17,9,3,6,4,4,6,0,0,3,23,12
6490,5,16,7,15,27,18,16,11,13,16,11,12,8,7,8,21,50
6501,4,79,29,48,70,65,56,47,52,65,49,46,22,44,22,98,167
6502,12,118,48,58,108,87,78,66,67,67,34,27,32,37,26,95,226
6503,15,165,61,117,142,145,143,169,153,160,81,60,65,62,29,217,409
6504,0,13,8,11,22,6,10,13,8,7,3,8,4,4,6,24,15
6505,6,5,9,7,11,6,5,18,15,4,9,3,3,0,3,12,14
6506,3,3,0,4,8,9,5,3,3,3,4,3,0,4,0,7,7
6507,8,21,15,28,34,21,49,28,40,52,30,26,14,19,15,47,89
6509,0,13,0,11,10,8,11,14,19,11,14,8,5,7,0,44,41
6510,3,84,58,120,147,136,118,133,136,139,83,89,54,63,25,185,397
6511,0,20,16,33,51,47,47,27,28,31,23,13,6,37,12,71,67
6512,3,5,4,3,5,3,4,7,9,8,4,4,0,3,0,12,21
6513,0,12,9,6,14,5,14,5,19,12,9,16,10,8,3,17,54
6514,0,51,20,47,102,66,45,16,36,24,20,21,9,32,12,52,85
6515,0,21,5,13,19,14,18,19,23,35,12,27,9,8,6,16,41
6516,17,117,75,93,147,131,117,101,100,110,62,55,43,99,44,163,288
6517,3,18,10,15,17,33,20,33,32,36,25,18,11,10,10,49,73
6518,6,15,4,25,15,22,8,7,8,16,12,9,4,6,3,12,35
6519,6,37,12,31,43,43,38,20,46,31,28,24,14,23,13,42,146
6521,3,15,8,18,17,22,31,23,29,34,24,18,7,18,11,17,49
6522,3,20,12,25,33,33,24,23,32,39,20,19,13,15,12,49,87
6525,31,256,110,244,351,273,251,202,192,196,128,113,100,165,86,270,608
6528,3,25,17,32,26,31,34,13,20,30,18,10,8,10,14,49,71
6530,142,2154,1048,1742,2284,2080,1939,1861,1852,2024,1349,1288,1004,1459,627,2870,6726
6532,28,427,224,294,366,321,348,366,350,371,313,295,237,336,139,884,1423
6535,16,94,41,141,175,113,94,107,62,110,63,50,40,38,29,181,254
6536,6,84,60,92,169,144,97,127,84,91,50,30,35,64,26,181,218
6537,10,39,19,44,96,66,52,67,76,41,32,24,27,43,14,94,169
6556,5,160,71,109,129,132,116,96,121,139,96,90,78,101,46,157,387
6558,0,68,20,39,65,34,39,35,47,54,41,26,21,26,25,1937,166
6560,9,104,29,91,119,103,72,80,93,96,59,58,40,35,6,114,244
6562,5,73,42,79,124,80,72,65,51,84,64,44,41,53,30,82,247
6564,7,29,12,25,24,31,20,14,22,19,15,8,9,12,9,21,44
6566,17,240,105,240,284,266,220,194,157,191,125,110,79,133,75,342,502
6567,5,42,13,31,41,31,30,18,17,23,23,20,8,16,19,34,54
6568,0,20,12,10,26,14,12,8,27,16,7,18,3,12,3,7,29
6569,0,14,9,18,16,11,12,20,22,24,17,11,6,3,3,17,56
6571,0,0,0,5,8,4,5,6,9,4,5,8,5,3,0,0,15
6572,0,9,3,5,5,0,8,3,4,0,3,0,0,3,0,6,14
6574,0,7,0,4,4,0,4,5,3,4,3,3,0,7,0,11,18
6575,0,6,3,0,5,0,14,7,10,15,11,4,6,3,3,12,38
6603,4,40,40,71,70,82,66,60,76,93,70,42,42,43,18,63,239
6605,0,3,0,0,0,0,0,5,0,5,3,5,7,0,4,0,10
6606,0,13,7,16,14,8,10,15,8,12,10,3,0,10,3,12,32
6608,0,13,5,4,7,8,6,5,7,12,6,8,0,7,4,14,29
6609,6,48,12,39,33,37,49,49,76,79,51,50,27,33,12,64,158
6612,0,11,6,11,23,7,6,8,6,19,16,16,4,8,6,26,47
6613,0,0,0,8,0,0,0,5,3,4,3,4,3,0,0,9,16
6614,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
6616,7,5,4,0,0,4,0,3,9,0,6,0,0,0,0,0,8
6620,4,23,9,10,22,19,22,11,25,34,33,24,23,63,39,63,67
6623,4,70,18,32,38,48,41,34,31,46,23,27,15,15,13,70,143
6625,0,4,0,5,0,0,0,3,4,7,4,0,0,0,0,10,8
6627,4,7,0,13,0,0,7,4,0,4,0,0,5,0,0,3,17
6628,0,0,0,0,6,3,0,0,0,4,0,0,0,0,0,0,9
6630,0,21,13,43,36,30,44,29,33,55,22,16,11,21,8,86,147
6631,0,0,0,3,0,3,0,0,0,0,5,0,3,0,4,0,7
6632,0,6,0,4,0,0,0,0,6,9,4,4,0,3,0,0,28
6635,0,13,0,19,4,9,6,7,12,22,18,19,19,44,15,84,41
6638,6,23,8,30,37,35,25,22,19,16,14,17,16,18,0,108,92
6639,0,7,3,8,5,12,8,0,7,8,5,3,0,0,5,17,0
6640,3,9,3,13,18,16,7,6,10,10,12,5,0,6,4,45,29
6642,5,39,19,51,37,45,43,37,55,42,37,45,48,110,46,227,187
6646,0,18,24,75,29,17,14,11,23,30,40,58,38,98,45,141,82
6701,32,276,123,296,316,301,332,348,393,334,222,166,131,202,89,864,1125
6705,3,6,6,35,16,5,11,8,7,10,3,0,4,3,6,64,83
6707,8,110,77,132,154,119,169,170,186,206,129,122,91,162,73,237,565
6710,9,58,23,42,24,33,18,37,50,92,75,128,233,825,1284,920,137
6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6712,4,3,3,3,0,0,3,3,10,45,74,68,89,306,941,407,0
6713,0,74,30,25,22,26,23,42,38,43,32,48,55,136,122,78,318
6714,92,1076,347,328,320,283,414,511,623,912,800,805,783,2000,1465,1936,4144
6716,3,53,11,30,14,9,11,18,23,24,24,23,39,156,62,57,205
6718,6,110,21,73,68,60,42,33,25,28,14,21,9,22,5,301,187
6720,16,212,47,70,57,36,56,71,77,84,97,93,114,326,206,317,663
6721,19,237,72,109,72,62,104,109,145,260,196,245,236,569,536,598,941
6722,65,647,199,287,275,222,245,265,363,467,432,441,438,1019,641,1382,2446
6725,51,488,208,720,488,396,450,489,611,777,546,484,406,579,182,1345,2574
6726,35,240,105,174,178,203,227,279,356,409,293,275,220,348,172,606,1313
6728,7,222,154,802,475,247,237,176,231,310,189,200,140,175,46,793,1545
6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6740,11,58,18,155,118,64,41,58,48,47,32,23,36,41,21,175,338
6743,23,256,155,407,283,197,229,296,437,441,375,311,222,340,133,729,1403
6751,11,253,52,90,69,75,65,82,108,226,191,206,261,1016,580,679,970
6753,21,276,116,229,113,85,104,108,175,321,352,333,345,1148,694,1498,1317
6754,3,83,27,26,20,20,30,27,34,53,56,45,45,229,120,157,412
6758,0,18,3,45,5,10,13,11,50,70,79,91,102,594,303,272,38
6760,0,26,16,82,31,15,22,16,21,33,16,20,28,58,6,99,133
6762,0,7,4,99,20,13,6,8,5,20,35,39,65,200,73,188,90
