Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
3875,9991,44338,37276,7525,45618,40926,1318,134,-148,9991,46445,39106,9991,2050,638,922,77599,35026,922,60167,17652,7129,11487,7333,11192,107196,42105
3878,590,44215,33166,399,45128,37433,90,-374,-950,590,46842,35937,590,2269,495,50,86678,29176,47,68780,13836,383,12697,7791,637,171615,61816
3880,1972,40876,31253,1218,44686,36956,237,1616,810,1972,42988,32996,1972,1902,417,189,83339,32240,184,97250,14767,1179,12347,6725,2285,168893,58127
3882,611,42897,34917,436,45825,41734,84,-149,-512,611,45053,37481,611,2028,549,75,55458,24665,74,43480,18656,405,11719,8372,692,111047,52351
3885,1030,38436,34327,759,42759,38946,89,846,379,1030,40524,35705,1030,1979,494,127,61887,35032,128,48321,18858,688,9312,6146,1139,81772,40717
3886,190,41670,31375,126,40904,31744,20,5702,2819,190,44049,32846,190,1945,344,19,74070,37924,20,67420,23314,125,10658,7023,199,107160,50867
3887,167,32438,29456,118,40198,35028,16,647,339,167,34246,30922,167,1360,432,26,48890,22957,24,52527,30824,101,7780,4900,213,65156,26188
3888,1657,42226,33644,1162,42821,36916,200,535,382,1657,44208,35114,1657,1838,339,163,64963,28240,160,50369,17552,1116,11173,6514,1912,102869,40473
3889,82,21540,18998,33,33400,29960,11,1049,-22,82,22653,18998,82,788,0,10,33179,18604,9,42736,30324,32,5959,3238,92,46663,20063
3890,166,41958,34694,112,43685,38600,13,3419,1132,166,43684,35616,166,1599,300,17,75906,29676,18,71485,19144,106,12013,7998,192,89421,34968
3891,65,55203,30117,33,44973,37984,10,528,-270,65,57008,31984,65,1098,154,9,64381,43789,9,40849,18099,36,25391,5620,65,136690,35484
3892,579,39718,30883,346,37901,30550,105,2603,1662,579,41701,32562,579,1658,299,102,45449,23496,98,34980,11530,355,10952,5900,664,155440,47027
3895,119,35699,27767,62,34313,25196,9,2740,-1243,119,39092,30771,119,2419,110,20,110918,62976,20,90566,38976,65,9290,5711,110,63967,35527
3896,228,45443,37588,168,41146,34133,32,1736,964,228,47976,39299,228,2523,460,25,52139,33000,24,42575,22990,165,10403,6611,243,113026,40253
3898,405,36481,30227,292,38654,32594,65,2769,238,405,40137,32108,405,2454,574,71,91779,26385,73,79552,18195,266,8981,5664,420,77942,35765
3900,110,42017,35125,57,40379,33581,14,2391,1018,110,47075,37329,110,4530,300,20,91442,54643,20,72913,53216,72,10239,5044,110,86688,41250
3902,227,43184,35434,147,46265,42130,35,-958,-854,227,45238,36252,227,1998,436,31,51027,40171,29,41733,22674,147,12827,7576,243,110896,49323
3903,412,45992,35714,291,44563,38117,49,1574,-282,412,47961,36514,412,1938,497,54,59491,24382,55,40968,16600,279,13072,8179,452,126303,49820
3904,840,42669,32628,520,46325,38652,130,-65,-516,840,44809,34560,840,1997,478,90,71103,46695,94,47943,22758,521,12720,6562,956,191868,65955
3909,3974,41059,33028,2792,42942,36400,503,-133,-263,3974,43378,34802,3974,2219,520,361,79663,31737,350,65286,17847,2627,10856,6005,4686,121682,43120
3910,13766,52207,44874,11563,54079,48063,1739,-3276,-2758,13766,54943,47290,13766,2704,1033,1208,63701,35492,1167,40795,15552,10851,13563,9650,15531,99885,48727
3911,1990,53863,40989,1554,49327,44364,255,472,-1094,1990,56717,43750,1990,2845,851,200,86470,33584,195,61969,14366,1503,15803,9006,2303,108287,44478
3912,9155,50826,42212,7348,51534,45596,1212,-1555,-1957,9155,53524,44571,9155,2603,880,931,72036,37004,905,52473,17471,7001,13433,9180,10288,102016,47752
3913,2178,54639,41948,1690,53435,44712,303,878,-1067,2178,57546,44298,2178,2873,842,211,65541,33330,212,42521,15773,1662,15542,9600,2400,117410,46768
3915,4670,47822,39682,3734,48760,43234,441,-986,-1746,4670,50360,41634,4670,2502,810,429,63729,29130,426,43671,14528,3426,12664,7907,5727,89991,33781
3916,629,71428,42012,360,63870,41740,137,2786,788,629,75637,44946,629,4071,675,100,60594,34072,92,45499,19520,453,26810,11692,678,374498,94237
3918,2272,50402,41422,1800,52630,46062,318,-2631,-2010,2272,52861,43604,2272,2393,895,252,64164,37562,248,46368,16228,1736,13113,8816,2561,118042,50401
3919,1709,45120,39457,1408,48014,43793,194,-3038,-1513,1709,47418,41601,1709,2291,980,188,49250,33354,184,30748,13680,1310,10382,7254,2064,74872,35667
3920,433,48557,45894,424,50838,48152,31,-4307,-4269,433,50902,48174,433,2345,1253,4,70309,34972,4,38364,10890,368,9973,7655,504,75284,21885
3921,72,38427,23124,34,36873,22876,9,6215,8337,72,39313,23602,72,886,136,18,78017,33170,18,65914,23012,33,15226,7670,59,67078,25304
3922,4113,41861,33382,2779,42255,36747,559,516,-324,4113,44288,35078,4113,2245,505,569,63839,34200,567,43274,13547,2729,11174,6392,4762,129379,46153
3923,347,47358,34547,222,44406,34996,54,1672,2056,347,49984,36333,347,2437,500,58,116455,35214,59,98620,15911,232,14068,6663,408,186860,61344
3925,1996,44924,35958,1377,45736,39628,303,406,-319,1996,47269,37983,1996,2292,588,292,80560,33102,289,57196,15917,1374,12315,7905,2310,140668,51551
3926,2066,60399,39761,1327,55336,43577,367,83,-548,2066,63648,42937,2066,3057,692,281,92091,33415,273,74016,15536,1466,20864,10693,2292,234899,69422
3927,1011,55894,39078,618,54591,42267,183,600,-146,1011,59396,42197,1011,3398,747,139,106213,30567,124,83351,13054,683,19309,10971,1116,245812,79434
3928,300,108398,43448,153,76828,40211,66,8297,1548,300,112582,47879,300,4167,302,48,117130,59789,48,78272,29294,216,52864,13157,353,356276,61866
3929,629,92611,40496,302,63817,36513,97,2012,2743,629,98392,43367,629,5487,523,106,114098,32416,101,93880,16850,424,44103,13618,683,503474,116114
3930,11317,77211,48362,7699,68600,51072,1959,-2341,-1870,11317,80983,51130,11317,3681,770,1073,158250,36965,1040,113105,16105,8358,29222,14944,12380,237328,80667
3931,13796,55604,40084,9911,54209,45754,1830,-646,-1330,13796,58357,42314,13796,2678,753,1422,70059,31964,1368,45118,13632,9903,17672,9626,15550,150928,56174
3933,748,60524,41137,502,54449,39528,165,3393,1750,748,64550,44751,748,2948,452,96,150705,40166,95,114155,28932,531,21225,12422,782,181106,53651
3934,11164,61786,42833,7937,60375,47274,1733,-1822,-2004,11164,64877,45340,11164,3006,758,1191,108147,36084,1168,78229,14896,8206,20455,11410,12084,171783,67090
3936,6416,51002,37684,4414,51554,43472,934,-32,-578,6416,53726,39860,6416,2649,632,731,66003,34913,720,43062,15150,4464,15700,8882,7238,152323,51835
3937,1064,73557,41526,661,61420,42000,186,744,-605,1064,77308,43950,1064,3748,650,143,125087,35057,140,95092,16216,771,29014,11183,1159,306411,84426
3938,1818,48698,37497,1142,50303,41925,259,3372,1038,1818,51835,38870,1818,3087,524,225,63120,30723,216,43185,12277,1251,14621,8631,2013,194258,67698
3939,7606,44572,36376,5418,46181,40239,895,110,-494,7606,46737,37708,7606,2112,544,902,66783,32725,877,45229,13801,5311,11889,7489,8812,116130,41122
3940,2123,40832,34628,1315,44027,40946,178,643,41,2123,42834,36358,2123,1944,434,196,60726,35744,192,40704,14100,1382,10654,6901,2341,96213,34512
3941,6778,45478,35482,4592,45368,38074,835,565,-377,6778,47814,37022,6778,2283,495,1084,72098,41189,1048,49036,17638,4716,12491,7034,8071,120310,40701
3942,1416,53279,35770,801,49313,37631,235,2418,990,1416,55948,37517,1416,2615,358,203,95495,39771,204,67072,14369,916,18620,9018,1581,260306,81090
3943,1110,109225,35924,511,53608,36113,187,4594,2336,1110,114947,38572,1110,5311,440,134,147020,45312,128,119269,15604,697,62111,12116,1191,549150,130393
3944,445,167266,54872,181,72198,37054,80,631,1289,445,177867,61838,445,10301,1125,34,284871,31184,33,240291,19528,322,89429,18954,453,1380774,355380
3945,588,42762,32852,371,49684,42220,71,-3457,-2588,588,45311,35234,588,2315,430,95,65230,32083,90,56717,20270,386,12989,7569,621,123715,50070
3950,2494,44947,36278,1794,47221,41384,273,-643,-1003,2494,47161,37872,2494,2090,603,283,77685,34623,273,62203,20255,1727,12501,7568,2824,104156,42809
3951,595,42002,33101,361,46308,40040,77,2253,30,595,44153,34948,595,1959,310,87,82657,48080,84,70431,36520,397,11974,7626,638,133134,52355
3953,4480,45277,36786,2975,47408,41408,566,334,-221,4480,47982,38571,4480,2329,562,513,124782,35808,496,105308,19735,3107,12474,8266,4794,131059,48588
3954,245,48434,34240,163,46034,37841,41,691,543,245,51467,36776,245,2546,511,43,67361,28955,39,57365,17523,163,15630,7767,262,125578,52961
3956,1360,39431,31209,822,40250,33929,186,186,458,1360,42037,33442,1360,2209,340,221,93137,41758,218,71931,20194,877,10793,6728,1513,135535,47712
3957,188,39973,35843,110,47048,38782,22,727,450,188,42514,36305,188,2430,460,27,116588,30391,26,105395,25906,130,9656,6558,202,105202,46248
3958,170,33832,28574,102,35469,31828,9,11255,-18,170,37238,31625,170,2482,430,19,104721,65730,19,94958,28317,100,9370,7100,165,125864,31420
3959,687,39663,32304,383,42338,37331,109,2017,-26,687,42210,34790,687,2424,413,98,92685,34056,98,70922,17154,432,11215,6658,748,159069,48288
3960,1450,42360,32470,905,45572,35720,221,1151,984,1450,45654,34562,1450,2604,636,202,85262,31730,197,70304,17662,910,12926,7757,1542,153872,53467
3962,517,42055,30045,345,47050,36909,50,1794,-164,517,44775,32212,517,2020,607,75,82889,28787,71,74577,28319,324,13182,5573,594,83273,36914
3965,91,36616,35892,61,44516,43136,8,3876,1488,91,38389,36625,91,1694,400,9,54319,47941,9,43800,32339,65,8225,5876,113,102122,37971
3966,290,42679,34599,197,41755,37835,45,-25,-447,290,45724,37102,290,2147,392,30,175364,39912,31,163218,37828,189,11554,6722,328,104183,35776
3971,2077,43697,34033,1431,46684,40134,309,-1039,-255,2077,46119,35760,2077,2224,520,229,115391,37082,233,95382,23857,1390,12860,6958,2314,116126,47784
3975,8308,50585,45708,7122,55010,51162,1386,-5764,-4470,8308,53097,48071,8308,2469,1022,892,60993,29230,842,43788,15269,6595,12700,9892,8984,58728,34039
3976,12638,42897,40413,10858,45923,44628,1211,-4230,-3166,12638,44917,42373,12638,1998,791,1386,49329,29691,1307,32439,12854,9746,9421,7513,15267,48973,22133
3977,50705,48996,44029,43445,51862,48257,5295,-4471,-3534,50705,51580,46331,50705,2547,1018,5004,53796,29284,4791,35727,13862,40044,11971,8886,56528,67986,33145
3978,6021,52241,47505,5213,55431,52191,630,-2778,-2896,6021,55096,50335,6021,2837,1272,611,56197,22160,582,39493,12152,4856,13166,10257,6068,62145,30610
3979,199,39937,35708,120,44369,40443,27,-1031,-1042,199,42207,36483,199,2107,420,26,46645,28272,23,40058,9194,134,9332,6577,206,138350,43996
3980,1895,50900,44156,1513,52146,47329,279,-1958,-1654,1895,53538,46455,1895,2611,1026,223,95132,46612,221,66992,20261,1493,12898,9156,2217,100407,49454
3981,2688,49690,42116,2069,49855,46172,333,-1274,-715,2688,52193,44846,2688,2431,806,328,81921,40494,316,62423,24446,2035,13393,8798,3179,81973,35126
3984,2604,42285,35098,1900,46014,41022,289,1214,-465,2604,44682,37236,2604,2224,600,304,77524,35212,297,61541,17013,1779,11146,7391,3098,101350,40624
3987,838,43081,36310,612,49658,43673,106,-681,-814,838,45500,37704,838,2160,594,103,71908,36314,101,45573,16332,602,11339,8249,968,85592,47638
3988,692,39411,31192,456,44561,37119,73,-1251,-1114,692,41773,33345,692,1735,342,77,93301,40786,77,75449,25217,440,10757,7119,739,94356,32347
3991,213,36012,27743,148,43354,35292,23,-5081,-4853,213,38342,30213,213,2078,402,35,70387,33450,33,56738,24566,128,9771,5730,245,75124,30243
3992,447,39937,33752,318,43015,38512,40,-3319,-2402,447,42371,35962,447,2292,627,60,70071,37598,55,56081,20575,306,9782,6473,518,70657,35910
3995,5034,40679,34160,3594,42138,37392,609,-283,-1057,5034,42856,36074,5034,2072,619,567,69262,39901,551,49714,19891,3410,10392,6114,5830,105141,38741
3996,3031,47311,34481,1937,49982,40025,485,-1167,-132,3031,50259,36439,3031,2835,632,373,109812,37695,363,88842,17566,1982,14857,7884,3303,186506,66590
4000,12657,58869,33550,10817,53697,34358,1535,-4422,-2192,12657,61511,34779,12657,2532,300,960,123641,18043,742,90036,11747,8188,23380,10848,18003,90126,3919
4005,12214,93745,59646,9924,81401,61138,2295,-2685,-2237,12214,98116,62386,12214,4188,894,1145,157778,26558,1094,96676,12322,10186,33673,15338,14415,178217,44275
4006,10822,69682,48760,9387,61788,50126,1347,-5811,-3285,10822,73018,50830,10822,3234,565,864,79672,16545,765,55492,9220,8558,23481,11764,13234,115316,20718
4007,8763,101505,55138,6661,78485,55483,1593,-2456,-2596,8763,107030,58584,8763,5227,860,805,238046,29630,753,161327,13400,7026,40498,15459,9729,263831,52393
4008,239,60142,49615,211,57546,53809,27,3687,1070,239,62458,53726,239,2316,1002,16,56998,48055,16,25718,11991,199,16183,10407,301,86759,40287
4009,97,66263,36935,82,53420,39649,17,3093,-1602,97,68119,37370,97,1855,300,4,123408,143988,4,44128,11802,66,26900,10913,114,130749,24063
4010,1974,64015,49963,1638,63212,52871,284,-1779,-1779,1974,67073,52526,1974,2794,742,193,87981,23475,170,66993,11908,1589,18910,12130,2242,110299,36129
4011,10136,86493,54044,7958,74536,55226,1773,-3992,-2445,10136,90560,56967,10136,3884,848,923,172005,27299,877,112843,13228,8131,31522,14278,11650,189562,55006
4012,14208,65070,52704,12131,65316,56098,2066,-4049,-3288,14208,67746,55078,14208,2635,784,1131,76158,22900,1054,54645,10776,11650,19022,12438,16449,115418,48811
4013,3081,62271,51076,2625,63676,55399,448,-2202,-2561,3081,64811,53282,3081,2452,760,254,68401,20775,232,48718,12159,2500,17920,12164,3549,110447,45207
4014,7446,58736,50638,6317,61490,55017,1143,-2632,-2761,7446,61147,52935,7446,2376,802,504,53159,25486,493,34203,11489,5970,16196,11958,8695,111623,54774
4017,21539,55949,47249,17821,59161,52013,3218,-2736,-2250,21539,58242,49170,21539,2245,712,1549,63327,28914,1512,43143,12720,16834,15492,10998,25330,120099,57911
4018,7069,51743,46515,6048,55294,50911,787,-4103,-3080,7069,53703,48269,7069,1935,640,523,45155,21100,476,28419,8896,5570,13173,10115,7725,84576,39060
4019,10872,51364,43813,8708,54380,48623,1675,-2030,-1621,10872,53823,45764,10872,2406,744,882,70659,29198,848,51351,14121,8271,13757,9507,13390,105248,44108
4020,12541,55473,42427,9317,57677,48483,2228,-1325,-1454,12541,58174,44709,12541,2555,673,935,108050,28119,928,89643,12868,9065,17133,10184,14855,146431,51776
4021,4761,46605,40810,3844,50022,45578,513,-1242,-2079,4761,48661,42497,4761,2017,656,351,85290,29355,333,67214,14322,3558,11621,8309,5880,82132,35894
4022,3338,46830,41412,2689,50895,46715,283,-2434,-1670,3338,48946,43424,3338,2071,664,199,53311,33110,195,33421,11467,2483,11712,8557,3864,83707,34989
4025,118,43683,41080,86,48840,47177,21,-1676,2540,118,45420,41956,118,1533,460,17,78415,36310,16,70012,16554,84,10465,7741,142,92012,32195
4030,10472,69411,51411,8939,67321,53912,1624,-3829,-2945,10472,72285,53574,10472,2805,733,922,79704,20786,855,51404,9263,8430,21989,12478,12334,120818,41057
4031,8303,66791,54527,7070,67015,57990,1335,-2882,-2717,8303,69707,57031,8303,2881,887,684,67920,24008,655,42572,10595,6739,19952,13795,9546,119933,56808
4032,9536,54737,45131,7606,56911,50345,1160,-903,-1972,9536,56961,46858,9536,2189,588,676,59553,24856,632,39350,10160,7303,15440,10178,10823,109620,40690
4034,26882,54771,45994,21485,57786,51104,3849,-1893,-1848,26882,57090,47814,26882,2277,628,2063,64065,24554,1945,44418,11082,20488,15404,10805,30673,126531,51418
4035,15592,65784,49637,12282,66493,54738,2861,-2481,-3251,15592,68743,52130,15592,2878,732,1097,99894,30138,1077,70895,11759,11984,21225,13131,17039,188797,78400
4036,3847,51777,46609,3272,54345,50863,426,-3152,-2305,3847,53926,48639,3847,2101,687,274,72122,26148,270,52298,12944,3056,13127,9945,4579,97415,48105
4037,4972,64542,52944,4195,66154,57109,879,-5582,-3663,4972,67376,55200,4972,2776,881,395,65240,26767,384,42620,12272,4008,19042,13502,5495,137867,74660
4051,17506,75281,54964,14689,72052,58270,3009,-3107,-2768,17506,78515,57678,17506,3178,892,1435,114696,24789,1358,62030,10098,14172,24839,14018,20212,146733,58537
4053,27074,60073,50272,22354,63049,55501,4229,-3032,-2394,27074,62638,52548,27074,2508,788,2077,82913,24610,2005,60782,10229,21415,17214,12453,31207,136411,62976
4054,8315,54158,46601,6799,58130,52362,1028,-3990,-2835,8315,56299,48605,8315,2106,646,580,57785,23770,559,37780,9936,6308,15128,11496,9677,122313,63306
4055,12694,61377,50910,10475,64920,56939,2012,-3941,-2600,12694,63698,53098,12694,2283,740,822,70935,21497,814,45745,9238,9869,18338,13231,14505,157943,80284
4059,7416,67531,47739,6285,64905,51399,1174,-3523,-2314,7416,70479,49780,7416,2912,631,677,79915,23768,637,41927,9517,5719,22471,12620,8859,130061,34774
4060,8317,82748,55697,6722,77529,57761,1525,-4066,-2306,8317,86366,58620,8317,3514,882,723,99619,26208,686,57899,12112,6600,29536,15947,9564,185938,73939
4061,10419,68987,50449,8005,70183,57259,1750,-3610,-2492,10419,71885,52689,10419,2847,707,956,79205,24756,902,49134,10840,7835,23562,14745,12000,208362,85183
4064,7657,85167,54822,6280,75734,56623,1491,-3408,-2445,7657,89108,57990,7657,3763,800,731,133676,28360,683,74057,12191,6181,30527,15019,9058,169521,44172
4065,6034,95325,58209,4708,86520,59158,1243,-3064,-2312,6034,99637,61822,6034,4129,900,624,174371,31434,598,113667,13528,4772,36766,17817,6905,217662,84311
4066,10930,71621,49493,9036,66220,51622,1720,-2844,-1816,10930,74780,51834,10930,2992,592,940,112063,23308,897,61437,10250,8462,24515,13321,12966,159433,34697
4067,5035,75729,37612,3773,65063,39350,822,-2276,-748,5035,80151,40095,5035,4292,300,378,169864,27635,344,97728,13836,3308,33991,14742,6139,234670,20599
4068,14872,78610,46846,11419,69704,49753,2431,392,-1171,14872,82069,49200,14872,3274,508,1127,139739,22040,1056,92183,10654,10954,30753,13951,16873,219806,40774
4069,21777,82754,51675,15827,78334,56583,4436,-2459,-1906,21777,86587,54323,21777,3714,671,1806,125339,28672,1749,78500,11759,16154,32128,16582,24227,257780,85411
4070,7038,65274,50806,5687,66783,56847,1008,-3949,-2910,7038,68277,52890,7038,2692,700,548,55639,25932,546,33101,10307,5413,20681,13581,7815,149902,62456
4073,5571,70325,53141,4501,71845,58820,1127,-4415,-3139,5571,73175,55454,5571,2819,798,394,75841,28636,386,43471,10754,4350,22981,14850,6098,170259,79955
4074,15412,59199,47407,12095,62144,53431,2819,-3450,-2303,15412,61856,49762,15412,2573,660,1215,91354,31114,1177,64480,12557,11643,18097,12262,17436,162721,63349
4075,14285,70533,51362,11475,69492,55687,2342,-3076,-2280,14285,73586,53581,14285,2881,700,1185,126200,22156,1104,95237,10562,11134,23571,13711,16268,162859,60692
4076,2695,46063,40539,2233,48006,44499,310,840,-371,2695,47960,42367,2695,1856,480,240,61635,26140,221,45801,9559,2016,11379,8348,3337,58840,22225
4077,13578,42751,38723,11261,45054,42687,1070,-1484,-1493,13578,44482,40250,13578,1717,450,1224,59366,26479,1159,42687,13187,9941,10064,7487,16469,49846,18445
4078,14254,53173,47213,12270,56278,51712,1854,-4360,-3420,14254,55362,49278,14254,2165,710,961,65496,26210,925,49440,12515,11151,14035,10653,16705,83634,38429
4101,14929,67822,45874,12222,62998,49041,2577,-1822,-1338,14929,71556,48474,14929,3211,504,1399,97719,20700,1283,64902,10332,11085,24049,12750,18252,129309,25189
4102,4666,54418,42330,4010,54202,45153,689,-1514,-2057,4666,56946,44556,4666,2471,466,431,70125,23002,391,42957,11345,3481,16231,10263,5783,83872,19760
4103,9093,57476,46140,7749,57109,49425,1208,-1504,-1506,9093,59756,47727,9093,2248,545,844,61207,21788,793,36096,9613,6978,17048,11205,10832,99102,30647
4104,4139,74450,51769,3256,66272,53856,722,-984,-1836,4139,77859,53877,4139,3335,688,349,117772,22389,324,62915,10288,3246,25800,13932,4779,186873,52819
4105,8303,64150,48832,6799,60721,53159,1171,-2937,-2256,8303,66828,51159,8303,2470,690,782,70872,23300,725,43387,9523,6531,19905,11892,9671,141335,48769
4106,987,48584,42518,835,49472,46085,100,-1264,-2638,987,50727,43895,987,2098,525,106,65227,25108,92,56963,11926,752,12612,9015,1218,59456,22720
4107,3865,52091,45618,3213,55544,51038,504,-2934,-2346,3865,54169,47505,3865,1995,597,336,46987,23040,319,30630,9643,2936,14150,10606,4536,89180,42146
4108,3430,45342,37174,2809,46550,41905,413,-2367,-1551,3430,47109,38623,3430,1737,436,341,40894,18299,291,29743,8008,2406,12562,8364,4111,69881,20342
4109,23059,45349,32912,16887,46123,38245,3858,-269,-436,23059,47433,34484,23059,1929,300,2103,123687,21793,1844,117912,9344,14816,14602,8378,26698,99992,17795
4110,5686,47333,42249,4737,49906,46800,671,-3526,-2759,5686,49401,44100,5686,2032,602,521,55800,22825,505,36783,11456,4298,11839,8976,6804,64039,26460
4111,636,46336,39378,524,49799,45260,94,1583,-342,636,48196,40848,636,1792,374,54,38332,20222,54,20001,8304,440,13102,9422,795,99267,34725
4112,4492,52939,40810,3427,57051,48608,811,-2631,-1894,4492,55371,42734,4492,2385,470,480,58711,27250,452,41342,12574,3238,16197,10321,4810,106831,34002
4113,18663,45979,36127,14599,48714,41567,2696,-2926,-2208,18663,48021,37391,18663,1981,395,1823,101005,22055,1663,89991,8981,12787,13454,8483,20728,87425,20317
4114,11938,39620,37442,10136,41566,41166,567,-3130,-2083,11938,41329,39134,11938,1703,536,1113,40301,26000,1036,23907,11678,8719,8509,6561,16572,41217,13978
4115,11572,51931,44547,9710,54938,49924,1576,-4748,-3809,11572,54339,46811,11572,2369,700,879,76614,24860,830,58939,11289,8864,14047,10100,13091,93370,39778
4116,15081,48642,40805,11874,52347,46859,2443,-3306,-2877,15081,50912,42927,15081,2205,496,1250,67881,25230,1149,50001,11941,10957,13629,9359,16466,84209,26181
4117,765,49639,46007,655,53616,50496,69,-4810,-2726,765,52037,48446,765,2391,915,58,46874,27155,53,30163,16978,620,11676,9593,896,50581,27348
4118,17362,49066,44606,14955,51483,48619,1764,-4141,-3168,17362,51464,46682,17362,2374,801,1191,60389,29532,1164,40355,12214,13679,11987,9164,20456,70933,33057
4119,3725,52303,43360,2964,55183,49698,558,-4249,-2635,3725,54471,45532,3725,2101,560,418,99418,30798,383,84149,13961,2825,14576,9947,4171,82909,32903
4120,6060,60035,48489,5225,59164,51060,775,-3516,-2591,6060,62478,50304,6060,2413,646,526,78565,23072,484,54854,9420,4848,17322,11375,7135,101284,34148
4121,15469,69938,52932,12631,68996,57050,2689,-2898,-2185,15469,72819,55406,15469,2834,793,1313,89217,26850,1234,55808,11561,12329,22339,14040,17631,147387,66384
4122,25786,54422,44904,20789,57150,50261,3941,-1662,-1557,25786,56736,46859,25786,2277,610,2027,76035,22752,1915,58184,9792,19301,15812,10957,29674,117903,45218
4123,11171,55086,46756,9112,57163,51752,1623,-2181,-2062,11171,57551,49032,11171,2407,670,937,75853,25000,893,59034,11488,8672,15380,10672,12861,109765,46603
4124,10559,52113,45538,8922,54717,49955,1358,-3924,-3026,10559,54615,47875,10559,2471,820,787,67091,31657,774,47678,15605,8335,13408,9875,12476,83845,42740
4125,4048,49620,41636,3131,52417,47309,711,-2321,-2123,4048,52157,43634,4048,2437,624,329,86522,36745,314,69441,18790,3010,13438,9354,4691,93292,44230
4127,14790,51237,44272,12147,53791,48829,1868,-3628,-2274,14790,53633,46362,14790,2343,679,1241,67703,27610,1183,48477,12994,11390,13519,9567,18258,90557,36331
4128,10107,54887,47190,8496,57686,51674,1509,-3926,-2663,10107,57458,49525,10107,2520,822,753,56907,32700,742,34835,15253,8005,14683,10768,11899,101364,46184
4129,3844,50459,45962,3248,52491,49372,429,-2842,-1915,3844,53017,47922,3844,2541,844,332,79107,38268,331,55201,17932,3053,12552,9558,4654,75752,37831
4130,5405,58110,46659,4260,58534,50270,967,-2912,-2654,5405,61041,49361,5405,2769,696,417,81775,41079,416,55411,17642,4210,16686,11193,6076,121425,51634
4131,5164,44673,41400,4451,46728,44773,374,-4227,-2895,5164,46769,43184,5164,2070,662,426,51919,28954,407,34381,12570,3912,10543,7915,6363,50450,20648
4132,12240,44294,41980,10823,46751,45440,625,-4453,-2965,12240,46509,44066,12240,2201,764,827,48425,32535,804,30831,14504,9518,9881,7835,15325,42135,20154
4133,9121,47682,43029,7622,50044,46874,828,-3186,-2264,9121,50089,45079,9121,2371,743,675,73956,34252,657,53190,14944,7046,11600,8583,10676,65367,29202
4151,11305,70012,52534,9270,66911,54999,1691,-2286,-1797,11305,72931,54662,11305,2868,772,940,95217,25278,872,61106,9802,9077,22400,13108,12866,144441,49809
4152,28772,68098,51531,23139,67110,55220,5193,-2922,-2380,28772,71065,53822,28772,2897,750,2223,90013,30000,2109,60129,11412,22541,21892,13441,32481,149771,59172
4153,2823,65443,50520,2297,64499,53788,425,-1680,-1509,2823,68421,52809,2823,2713,718,234,99804,24766,235,61326,10037,2276,19735,12335,3209,158625,66359
4154,6428,77575,57296,5326,75129,62219,1145,-4248,-2778,6428,81016,60092,6428,3377,932,477,94468,27835,467,68237,13055,5257,25634,15146,7016,138233,70242
4155,1013,94505,53649,712,66722,47298,237,810,660,1013,98916,55384,1013,4154,511,81,113402,37000,74,79241,17325,776,37705,17380,1099,270362,74404
4156,2108,75244,51360,1593,68054,53325,486,-1224,-1172,2108,78253,53643,2108,2957,636,149,489786,25524,140,478787,10388,1590,27507,15387,2281,191526,74159
4157,11762,54151,46242,9685,55999,50000,1633,-3689,-2510,11762,56567,48204,11762,2357,718,936,74495,29222,919,51664,12413,9232,14666,10134,13695,110332,48527
4158,2220,54086,47218,1878,55579,49758,296,-2452,-2191,2220,56429,48734,2220,2321,718,181,52468,24700,175,30489,11465,1773,14113,9892,2631,106052,48738
4159,8638,57510,46508,6948,59096,50956,1252,-2444,-2424,8638,59963,48599,8638,2397,694,620,54247,25128,591,35448,11021,6729,16471,10859,9948,130920,55203
4160,11453,62069,46968,9054,63609,51574,1836,-4168,-3144,11453,64825,49013,11453,2690,736,824,69474,27142,812,45150,11262,8736,19282,11909,12846,158160,63648
4161,9668,51790,45554,8226,53862,49050,1041,-3008,-2528,9668,53980,47442,9668,2156,740,736,67863,30226,718,44144,11423,7647,13119,9610,11345,95043,45557
4163,9217,65689,44676,6729,60985,49641,1503,-1949,-1124,9217,68853,47068,9217,3050,590,637,87381,23940,621,65533,10516,6785,22862,11122,10481,190756,57158
4164,8823,59427,47525,7163,61847,52075,1290,-3432,-2872,8823,62215,49769,8823,2700,810,644,70982,30025,634,47844,14437,6842,17528,11525,9817,123052,53183
4165,21622,56346,46646,17279,58970,51773,2997,-3349,-2676,21622,59070,48766,21622,2660,786,1558,66020,28835,1528,45048,13844,16667,16002,10938,24273,117529,53703
4169,9670,70886,48411,7941,65084,51112,1615,-1384,-1894,9670,74525,50904,9670,3548,603,860,154897,21202,747,142721,9650,7472,24578,12424,12010,160764,27120
4170,16111,71553,54175,13861,69995,57272,2550,-4523,-3150,16111,74625,56766,16111,2993,890,1285,101287,24252,1209,75464,10234,13226,22439,13632,18914,115902,46609
