Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2115,5846,56337,46689,4784,60332,52748,1079,-1771,-1801,5846,58651,48420,5846,2277,726,515,63744,32600,489,42091,13652,4510,16114,11206,6695,89171,39118
2116,3564,53459,45492,2941,57690,51487,595,-2886,-1990,3564,55737,47294,3564,2226,712,338,55117,28238,323,37597,12581,2687,15104,10921,4138,84203,36261
2117,11858,54882,42581,9235,57570,49187,2352,-1879,-1549,11858,57210,44554,11858,2238,574,1138,64323,32621,1066,44429,15458,8729,16653,10786,13264,106057,35166
2118,14516,55182,41540,10650,60736,50576,3464,-1170,-1114,14516,57465,43439,14516,2238,500,1350,100968,31375,1292,79241,13428,10290,17741,11176,15475,131272,40784
2119,7489,83590,53429,5381,81676,60690,1839,-102,-281,7489,87431,56503,7489,3731,746,597,130523,35985,577,77300,14919,5580,32499,17471,7981,268735,91381
2120,12854,67771,49336,9838,72970,58554,2457,-1191,-882,12854,70405,51752,12854,2569,684,1045,91979,29400,1007,64238,11129,9601,23022,14809,14946,157121,63702
2121,17938,63652,43771,13393,67950,54265,4355,-2017,-1434,17938,66161,46004,17938,2420,508,1416,230433,25526,1315,217134,10876,12740,22705,13553,19020,160601,44739
2122,19253,55264,40265,14400,58991,49254,4467,-606,-1015,19253,57520,42139,19253,2146,442,1700,88364,27877,1588,68879,11421,13459,18231,11253,21091,116276,30078
2125,11007,78356,50357,8208,77604,56683,2741,-1626,-1040,11007,81757,52805,11007,3304,666,859,156107,35746,827,115645,14086,8212,29642,15161,12036,214821,70927
2126,11988,66268,46754,9215,72556,56762,2923,-3476,-2311,11988,69233,49078,11988,2888,650,868,135508,28300,846,112990,11574,8788,22967,14342,13014,161996,59878
2127,8701,63998,53961,7285,69173,61615,1667,-4452,-3703,8701,66912,56652,8701,2848,914,840,78156,29124,794,52962,12170,6909,19413,14007,9263,91817,35039
